Binomial,Common,Status,Trend,System,Taxon,Delta_Status,Status_Impr
Sarcogyps calvus,Red-headed Vulture,CR,Decreasing,Terrestrial,Birds,-4,Declined
Gyps africanus,White-backed Vulture,CR,Decreasing,"Freshwater,Terrestrial",Birds,-3,Declined
Gyps rueppelli,R<9f>ppell's Vulture,CR,Decreasing,Terrestrial,Birds,-3,Declined
Aquila nipalensis,Steppe Eagle,EN,Decreasing,Terrestrial,Birds,-3,Declined
Neophoca cinerea,Australian Sea Lion,EN,Decreasing,"Marine,Terrestrial",MarineMam,-3,Declined
Neophron percnopterus,Egyptian Vulture,EN,Decreasing,"Freshwater,Terrestrial",Birds,-3,Declined
Trigonoceps occipitalis,White-headed Vulture,CR,Decreasing,Terrestrial,Birds,-2,Declined
Necrosyrtes monachus,Hooded Vulture,CR,Decreasing,"Freshwater,Terrestrial",Birds,-1,Declined
Arctocephalus galapagoensis,Galapagos Fur Seal,EN,Decreasing,"Marine,Terrestrial",MarineMam,-1,Declined
Polemaetus bellicosus,Martial Eagle,VU,Decreasing,"Freshwater,Terrestrial",Birds,-1,Declined
Gyps coprotheres,Cape Vulture,EN,Decreasing,Terrestrial,Birds,-1,Declined
Milvus milvus,Red Kite,NT,Decreasing,Terrestrial,Birds,-1,Declined
Phocarctos hookeri,New Zealand Sea Lion,EN,Decreasing,"Marine,Terrestrial",MarineMam,-1,Declined
Spizaetus ornatus,Ornate Hawk-eagle,NT,Decreasing,Terrestrial,Birds,-1,Declined
Zalophus wollebaeki,Galápagos Sea Lion,EN,Decreasing,"Marine,Terrestrial",MarineMam,-1,Declined
Huso dauricus,Kaluga,CR,Decreasing,"Marine,Freshwater",Bony,-1,Declined
Huso huso,Beluga,CR,Decreasing,"Marine,Freshwater",Bony,-1,Declined
Hyporthodus ergastularius,Sevenbar Grouper,NT,Decreasing,Marine,Bony,-1,Declined
Thunnus albacares,Yellowfin Tuna,NT,Decreasing,Marine,Bony,-1,Declined
Torgos tracheliotos,Lappet-faced Vulture,EN,Decreasing,Terrestrial,Birds,-1,Declined
Panthera pardus,Leopard,VU,Decreasing,Terrestrial,LandMam,-1,Declined
Gavialis gangeticus,Gharial,CR,Increasing,"Freshwater,Terrestrial",ReptAmph,-1,Declined
Crocodylus rhombifer,Cuban Crocodile,CR,U,"Freshwater,Terrestrial",ReptAmph,-1,Declined
Aaptosyax grypus,Mekong Giant Salmon Carp,CR,Decreasing,Freshwater,Bony,0,Unchanged
Accipiter henstii,Henst's Goshawk,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Acinonyx jubatus,Cheetah,VU,Decreasing,Terrestrial,LandMam,0,Unchanged
Aegypius monachus,Cinereous Vulture,NT,Decreasing,Terrestrial,Birds,0,Unchanged
Aetobatus narinari,Spotted Eagle Ray,NT,Decreasing,Marine,Elasmo,0,Unchanged
Alopias pelagicus,Pelagic Thresher,VU,Decreasing,Marine,Elasmo,0,Unchanged
Alopias superciliosus,Bigeye Thresher Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Alopias vulpinus,Common Thresher Shark,VU,Decreasing,Marine,Elasmo,0,Unchanged
Andrias davidianus,Chinese Giant Salamander,CR,Decreasing,Freshwater,ReptAmph,0,Unchanged
Aquila africana,Cassin's Hawk-eagle,LC,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Aquila fasciata,Bonelli's Eagle,LC,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Aquila heliaca,Eastern Imperial Eagle,VU,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Aquila spilogaster,African Hawk-eagle,LC,Decreasing,"Freshwater,Terrestrial",Birds,0,Unchanged
Arctocephalus gazella,Antarctic Fur Seal,LC,Decreasing,"Marine,Terrestrial",MarineMam,0,Unchanged
Bubo bubo,Eurasian Eagle-owl,LC,Decreasing,Terrestrial,Birds,0,Unchanged
Buteogallus schistaceus,Slate-colored Hawk,LC,Decreasing,Terrestrial,Birds,0,Unchanged
