"","Binomial","Common","Status","Trend","System","Taxon","combo","Delta_Status","Status_Impr","source_2019","source.count","source.freq","Threatened"
"1","Aonyx capensis","African Clawless Otter","NT","Decreasing","Marine,Freshwater,Terrestrial","LandMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"2","Arctocephalus australis","South American Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.4 1.2",0,"Unchanged","Fishing",148,12.6495726495726,"N"
"3","Arctocephalus australis","South American Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"4","Arctocephalus philippii","Juan Fernández Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.4 2.1",1,"Improved","Bycatch",140,11.965811965812,"N"
"5","Arctocephalus pusillus","Afro-Australian Fur Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"6","Balaena mysticetus","Bowhead Whale","LC","Increasing","Marine","MarineMam","5.4.4 ",1,"Improved","Bycatch",140,11.965811965812,"N"
"7","Callorhinus ursinus","Northern Fur Seal","VU","Decreasing","Marine,Terrestrial","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"8","Carcharhinus limbatus","Blacktip Shark","NT","U","Marine","Elasmo","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"9","Carcharhinus obscurus","Dusky Shark","VU","Decreasing","Marine","Elasmo","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"10","Carcharhinus plumbeus","Sandbar Shark","VU","Decreasing","Marine","Elasmo","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"11","Carcharias taurus","Sand Tiger Shark","VU","U","Marine","Elasmo","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"12","Carcharodon carcharias","Great White Shark","VU","U","Marine","Elasmo","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"13","Cephalorhynchus eutropia","Chilean Dolphin","NT","Decreasing","Marine,Freshwater","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"14","Cystophora cristata","Hooded Seal","VU","U","Marine,Terrestrial","MarineMam","5.4.4 1.2",0,"Unchanged","Fishing",148,12.6495726495726,"Y"
"15","Cystophora cristata","Hooded Seal","VU","U","Marine,Terrestrial","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"16","Delphinus delphis","Short-beaked Common Dolphin","LC","U","Marine","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"17","Eubalaena australis","Southern Right Whale","LC","U","Marine","MarineMam","5.4.4 ",1,"Improved","Bycatch",140,11.965811965812,"N"
"18","Eumetopias jubatus","Steller Sea Lion","NT","Increasing","Marine,Terrestrial","MarineMam","5.4.4 2.1",2,"Improved","Bycatch",140,11.965811965812,"N"
"19","Halichoerus grypus","Grey Seal","LC","Increasing","Marine,Terrestrial","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"20","Hexanchus griseus","Bluntnose Sixgill Shark","NT","U","Marine","Elasmo","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"21","Huso dauricus","Kaluga","CR","Decreasing","Marine,Freshwater","Bony","5.4.4 2.1",-1,"Declined","Bycatch",140,11.965811965812,"Y"
"22","Huso huso","Beluga","CR","Decreasing","Marine,Freshwater","Bony","5.4.4 2.1",-1,"Declined","Bycatch",140,11.965811965812,"Y"
"23","Hydrurga leptonyx","Leopard Seal","LC","U","Marine,Terrestrial","MarineMam","5.4.4 2.2",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"24","Lamna nasus","Porbeagle","VU","Decreasing","Marine","Elasmo","5.4.4 ",0,"Unchanged","Bycatch",140,11.965811965812,"Y"
"25","Leptonychotes weddellii","Weddell Seal","LC","U","Marine,Terrestrial","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
"26","Lissodelphis borealis","Northern Right Whale Dolphin","LC","U","Marine","MarineMam","5.4.4 2.1",0,"Unchanged","Bycatch",140,11.965811965812,"N"
