Binomial,Common,redlistCategory,populationTrend,systems,Taxon,Delta_Status,Most_Recent_Change,is_geniune
Sarcogyps calvus,Red-headed Vulture,Critically Endangered,Decreasing,Terrestrial,Birds,-4,-4,genuine
Gyps africanus,White-backed Vulture,Critically Endangered,Decreasing,"Freshwater,Terrestrial",Birds,-3,-3,genuine
Gyps rueppelli,R�ppell's Vulture,Critically Endangered,Decreasing,Terrestrial,Birds,-3,-3,genuine
Aquila nipalensis,Steppe Eagle,Endangered,Decreasing,Terrestrial,Birds,-3,-3,genuine
Neophoca cinerea,Australian Sea Lion,Endangered,Decreasing,"Marine,Terrestrial",MarineMam,-3,-3,genuine
Neophron percnopterus,Egyptian Vulture,Endangered,Decreasing,"Freshwater,Terrestrial",Birds,-3,-3,genuine
Trigonoceps occipitalis,White-headed Vulture,Critically Endangered,Decreasing,Terrestrial,Birds,-2,-2,genuine
Necrosyrtes monachus,Hooded Vulture,Critically Endangered,Decreasing,"Freshwater,Terrestrial",Birds,-1,-1,genuine
Arctocephalus galapagoensis,Galapagos Fur Seal,Endangered,Decreasing,"Marine,Terrestrial",MarineMam,-1,-1,genuine
Polemaetus bellicosus,Martial Eagle,Vulnerable,Decreasing,"Freshwater,Terrestrial",Birds,-1,-1,genuine
Gyps coprotheres,Cape Vulture,Endangered,Decreasing,Terrestrial,Birds,-1,-1,genuine
Milvus milvus,Red Kite,Near Threatened,Decreasing,Terrestrial,Birds,-1,-1,genuine
Phocarctos hookeri,New Zealand Sea Lion,Endangered,Decreasing,"Marine,Terrestrial",MarineMam,-1,-1,genuine
Spizaetus ornatus,Ornate Hawk-eagle,Near Threatened,Decreasing,Terrestrial,Birds,-1,-1,genuine
Zalophus wollebaeki,Galápagos Sea Lion,Endangered,Decreasing,"Marine,Terrestrial",MarineMam,-1,-1,genuine
Huso dauricus,Kaluga,Critically Endangered,Decreasing,"Marine,Freshwater",Bony,-1,-1,genuine
Huso huso,Beluga,Critically Endangered,Decreasing,"Marine,Freshwater",Bony,-1,-1,genuine
Hyporthodus ergastularius,Sevenbar Grouper,Near Threatened,Decreasing,Marine,Bony,-1,-1,genuine
Thunnus albacares,Yellowfin Tuna,Near Threatened,Decreasing,Marine,Bony,-1,-1,genuine
