scientific_name,realm_type,realm,area_m2,prop_type
Aaptosyax grypus,Terrestrial,Indo-Malay,5118113438,1
Aaptosyax grypus,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,5118113438,1
Acinonyx jubatus,Terrestrial,Afrotropic,2.00478E+12,0.681079745
Acinonyx jubatus,Terrestrial,Palearctic,9.38751E+11,0.318920255
Acipenser naccarii,Terrestrial,Palearctic,15529931436,1
Acipenser naccarii,Freshwater,temperate coastal rivers,15529931436,1
Acipenser nudiventris,Marine,Black Sea,35732590.25,1
Acipenser nudiventris,Freshwater,large lakes,3.75926E+11,0.720338413
Acipenser nudiventris,Freshwater,montane freshwaters,6668284050,0.012777559
Acipenser nudiventris,Terrestrial,Palearctic,5.21872E+11,1
Acipenser nudiventris,Freshwater,temperate coastal rivers,22215660374,0.042568958
Acipenser nudiventris,Freshwater,temperate floodplain rivers and wetlands,1.15091E+11,0.22053431
Acipenser nudiventris,Freshwater,xeric freshwaters and endorheic (closed) basins,1973082531,0.003780759
Acipenser stellatus,Marine,Black Sea,6571640874,0.986507137
Acipenser stellatus,Freshwater,large lakes,3.80938E+11,0.382523737
Acipenser stellatus,Freshwater,montane freshwaters,1.13424E+11,0.113895971
Acipenser stellatus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",89883028.94,0.013492863
Acipenser stellatus,Terrestrial,Palearctic,9.9598E+11,1
Acipenser stellatus,Freshwater,polar freshwaters,154742928.7,0.000155387
Acipenser stellatus,Freshwater,temperate coastal rivers,95272856058,0.095669519
Acipenser stellatus,Freshwater,temperate floodplain rivers and wetlands,3.59433E+11,0.360929459
Acipenser stellatus,Freshwater,xeric freshwaters and endorheic (closed) basins,46631778804,0.046825927
Acipenser sturio,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1333122593,0.302899879
Acipenser sturio,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",3068076230,0.697100121
Acipenser sturio,Terrestrial,Palearctic,12702253028,1
Acipenser sturio,Freshwater,temperate coastal rivers,11378875281,0.909044366
Acipenser sturio,Freshwater,temperate floodplain rivers and wetlands,1138528384,0.090955634
Acipenser gueldenstaedtii,Marine,Black Sea,6571640874,0.986507137
Acipenser gueldenstaedtii,Freshwater,large lakes,3.80938E+11,0.405638641
Acipenser gueldenstaedtii,Freshwater,montane freshwaters,98107293215,0.104468806
Acipenser gueldenstaedtii,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",89883028.94,0.013492863
Acipenser gueldenstaedtii,Terrestrial,Palearctic,9.39232E+11,1
Acipenser gueldenstaedtii,Freshwater,temperate coastal rivers,1.0387E+11,0.110605412
Acipenser gueldenstaedtii,Freshwater,temperate floodplain rivers and wetlands,3.09559E+11,0.329631646
Acipenser gueldenstaedtii,Freshwater,xeric freshwaters and endorheic (closed) basins,46631778804,0.049655495
Acipenser medirostris,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",364453656.1,1
Acipenser medirostris,Terrestrial,Nearctic,1.84328E+11,1
Acipenser medirostris,Freshwater,polar freshwaters,7555056.406,4.20E-05
Acipenser medirostris,Freshwater,temperate coastal rivers,1.70946E+11,0.949404498
Acipenser medirostris,Freshwater,temperate floodplain rivers and wetlands,9070508990,0.050376181
Acipenser medirostris,Freshwater,temperate upland rivers,21762799.44,0.000120867
Acipenser medirostris,Freshwater,xeric freshwaters and endorheic (closed) basins,10172109.81,5.65E-05
Acipenser transmontanus,Marine,"NE and NW Atlantic and Mediterranean, Arctic and North Pacific",716344407.8,1
Acipenser transmontanus,Terrestrial,Nearctic,5.53298E+11,1
Acipenser transmontanus,Freshwater,temperate coastal rivers,2.68337E+11,0.488738884
Acipenser transmontanus,Freshwater,temperate floodplain rivers and wetlands,1.32763E+11,0.241808934
Acipenser transmontanus,Freshwater,temperate upland rivers,1.47923E+11,0.269421272
Acipenser transmontanus,Freshwater,xeric freshwaters and endorheic (closed) basins,16970826.88,3.09E-05
Acipenser persicus,Freshwater,large lakes,3.79648E+11,0.567525117
Acipenser persicus,Freshwater,montane freshwaters,98452474985,0.147173774
Acipenser persicus,Terrestrial,Palearctic,6.68954E+11,1
Acipenser persicus,Freshwater,temperate floodplain rivers and wetlands,1.41359E+11,0.211313146
Acipenser persicus,Freshwater,xeric freshwaters and endorheic (closed) basins,49494538461,0.073987963
Acipenser oxyrinchus,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",22716622868,1
Acipenser oxyrinchus,Terrestrial,Nearctic,8.02182E+11,1
Acipenser oxyrinchus,Freshwater,temperate coastal rivers,6.57894E+11,0.818426859
Acipenser oxyrinchus,Freshwater,temperate floodplain rivers and wetlands,93301622541,0.11606817
Acipenser oxyrinchus,Freshwater,tropical and subtropical coastal rivers,52656297192,0.065504971
Alligator sinensis,Terrestrial,Palearctic,10082505812,1
Alligator sinensis,Freshwater,temperate floodplain rivers and wetlands,10082505812,1
Andrias davidianus,Terrestrial,Indo-Malay,94344199802,0.194242442
Andrias davidianus,Freshwater,montane freshwaters,1.4042E+11,0.289107495
Andrias davidianus,Terrestrial,Palearctic,3.91359E+11,0.805757558
Andrias davidianus,Freshwater,temperate floodplain rivers and wetlands,3.02298E+11,0.622392573
Andrias davidianus,Freshwater,tropical and subtropical coastal rivers,7840462952,0.016142494
Andrias davidianus,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,35144248150,0.072357438
Andrias japonicus,Terrestrial,Palearctic,56857465598,1
Andrias japonicus,Freshwater,temperate coastal rivers,56885072482,1
Aonyx capensis,Terrestrial,Afrotropic,1.17914E+13,1
Aonyx capensis,Freshwater,large lakes,7.80365E+11,0.066221414
Aonyx capensis,Freshwater,large river deltas,46797961750,0.003971255
Aonyx capensis,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",3076339948,1
Aonyx capensis,Freshwater,montane freshwaters,5.40213E+11,0.045842258
Aonyx capensis,Freshwater,temperate coastal rivers,1.31189E+11,0.011132622
Aonyx capensis,Freshwater,temperate upland rivers,5.26116E+11,0.044646017
Aonyx capensis,Freshwater,tropical and subtropical coastal rivers,2.41546E+12,0.204974491
Aonyx capensis,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,4.3953E+12,0.372982952
Aonyx capensis,Freshwater,tropical and subtropical upland rivers,1.04956E+12,0.089065277
Aonyx capensis,Freshwater,xeric freshwaters and endorheic (closed) basins,1.89918E+12,0.161163714
Aonyx congicus,Terrestrial,Afrotropic,2.91312E+12,1
Aonyx congicus,Freshwater,large lakes,27406920031,0.00941592
Aonyx congicus,Freshwater,montane freshwaters,94453014197,0.032450273
Aonyx congicus,Freshwater,tropical and subtropical coastal rivers,5.15026E+11,0.176942282
Aonyx congicus,Freshwater,tropical and subtropical floodplain rivers and wetland complexes,1.84486E+12,0.633821633
Aonyx congicus,Freshwater,tropical and subtropical upland rivers,4.2895E+11,0.147369893
Arctocephalus australis,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.61473E+12,0.860485777
Arctocephalus australis,Terrestrial,Neotropic,5548745700,1
Arctocephalus australis,Marine,South-east Pacific,2.42911E+11,0.129447127
Arctocephalus australis,Marine,Southern Ocean,18891195095,0.010067096
Arctocephalus galapagoensis,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1.05902E+11,1
Arctocephalus galapagoensis,Terrestrial,Neotropic,146004548.3,1
Arctocephalus gazella,Terrestrial,Antarctic,2761880603,0.997274531
Arctocephalus gazella,Terrestrial,Australasia,7547990.625,0.002725469
Arctocephalus gazella,Marine,"Mid-Atlantic, Pacific and Indian Oceans including coastal tropics and warm temperate areas",1254093208,7.16E-05
Arctocephalus gazella,Marine,Southern Ocean,1.75246E+13,0.999928443
