Table 7: Species changing IUCN Red List Status,,,,
"Species may move between categories for a variety of reasons, including genuine improvement or deterioration in status, new information being available about the species that was not known at the time of the previous assessment, taxonomic changes, or mistakes being made in previous assessments (e.g., incorrect information used previously, missapplication of the IUCN Red List Criteria, etc.). To help Red List users interpret the changes between the current and the previous Red List, a summary of species that have changed category for genuine reasons only in 2008 is provided in the table below.",,,,
"IUCN Red List Categories:  EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered, EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT - Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,
,,,,
Scientific name,Common name,IUCN Red List (2007) Category,IUCN Red List (2008) Category,
MAMMALS,,,,
Genuine Improvements,,,,
Gulo gulo,Wolverine,VU,NT,
Mustela nigripes,Black-footed Ferret,EW,EN,
Arctocephalus philippii,Juan Fernández Fur Seal,VU,NT,
Arctocephalus townsendi,Guadalupe Fur Seal,VU,NT,
Balaena mysticetus,Bowhead Whale,LR/cd,LC,
Eubalaena australis,Southern Right Whale,LR/cd,LC,
Megaptera novaeangliae,Humpback Whale,VU,LC,
Bison bonasus,European Bison,EN,VU,
Capra pyrenaica,Spanish Ibex,LR/nt,LC,
Capra walie,Walia Ibex,CR,EN,
Procapra przewalskii,Przewalski's Gazelle,CR,EN,
Rupicapra pyrenaica,Pyrenean Chamoix,LR/cd,LC,
Eschrichtius robustus,Gray Whale,LR/cd,LC,
Pteropus dasymallus,Ryukyu Flying Fox,EN,NT,
Pteropus molossinus,Pohnpei Flying Fox,CR,VU,
Pteropus samoensis,Samoan Flying Fox,VU,NT,
Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,VU,LC,
Corynorhinus townsendii,Townsend's Big-eared Bat,VU,LC,
Myotis emarginatus,Geoffroy's Bat,VU,LC,
Myotis grisescens,Gray Myotis,EN,NT,
Dasyurus geoffroii,Western Quoll,VU,NT,
Dendrolagus lumholtzi,Lumholtz's Tree Kangaroo,LR/nt,LC,
Macropus irma,Western Brush Wallaby,LR/nt,LC,
Bettongia lesueur,Burrowing Bettong,VU,NT,
Pseudochirulus cinereus,Daintree River Ringtail Possum,LR/nt,LC,
Pseudochirulus herbertensis,Herbert River Ringtail Possum,LR/nt,LC,
Equus ferus,Wild Horse,EW,CR,
Equus zebra,Mountain Zebra,EN,VU,
Rhinoceros unicornis,Indian Rhinoceros,EN,VU,
Leontopithecus chrysopygus,Black Lion Tamarin,CR,EN,
Loxodonta africana,African Elephant,VU,NT,
Castor fiber,Eurasian Beaver,NT,LC,
Leporillus conditor,Greater Stick-nest Rat,EN,VU,
Pseudomys fieldi,Shark Bay Mouse,CR,VU,
Pseudomys occidentalis,Western Mouse,EN,LC,
Spermophilus suslicus,Speckled Ground Squirrel,VU,NT,
Spermophilus washingtoni,Washington Ground Squirrel,VU,NT,
,,,,
Genuine deteriorations,,,,
Panthera pardus,Leopard,LC,NT,
Prionailurus planiceps,Flat-headed Cat,VU,EN,
Prionailurus viverrinus,Fishing Cat,VU,EN,
Spilogale pygmaea,Pygmy Spotted Skunk,LR/lc,VU,
