Table 7: Species changing IUCN Red List Status (2009-2010),,,,,,
,,,,,,
"Published listings of a species' status may change for a variety of reasons (genuine improvement or deterioration in status; new information being available that was not known at the time of the previous assessment; taxonomic changes; corrections to mistakes made in previous assessments, etc. To help Red List users interpret the changes between the Red List updates, a summary of species that have changed category between 2009 (IUCN Red List version 2009.2) and 2010 (IUCN Red List version 2010.4) and the reasons for these changes is provided in the table below.",,,,,,
The 2010 categories shown in this table were first published at different times throughout the year. The IUCN Red List version that each assessment first appeared in is shown. Publication dates for each version of the Red List are: 2010.1 - 10th March 2010; 2010.2 - 29th June 2010; 2010.3 - 2nd September 2010; 2010.4 - 27th October 2010.,,,,,,
"IUCN Red List Categories:  EX - Extinct, EW - Extinct in the Wild, CR - Critically Endangered, EN - Endangered, VU - Vulnerable, LR/cd - Lower Risk/conservation dependent, NT - Near Threatened (includes LR/nt - Lower Risk/near threatened), DD - Data Deficient, LC - Least Concern (includes LR/lc - Lower Risk, least concern).",,,,,,
"Reasons for change:  G - Genuine status change (genuine improvement or deterioration in the species' status); N - Non-genuine status change (i.e., status changes due to new information, improved knowledge of the criteria, incorrect data used previously, taxonomic revision, etc.)",,,,,,
,,,,,,
Scientific name,Common name,IUCN Red List (2009) Category,IUCN Red List (2010) Category,Reason for change,Red List version,
MAMMALS,,,,,,
Apomys insignis,Mindanao Montane Forest Mouse,NT,LC,N,2010.2,
Calomys hummelincki,Hummelinck's Vesper Mouse,VU,LC,N,2010.2,
Calyptophractus retusus,Greater Fairy Armadillo ,NT,DD,N,2010.2,
Chaetodipus goldmani,Goldman's Pocket Mouse,VU,NT,N,2010.2,
Dendrolagus mbaiso,Dingiso,CR,EN,N,2010.2,
Eupetaurus cinereus,Woolly Flying Squirrel,DD,EN,N,2010.2,
Gerbillus gleadowi,Little Hairy-footed Gerbil,NT,LC,N,2010.2,
Hyperacrius fertilis,Burrowing Vole,VU,NT,N,2010.2,
Lonchophylla hesperia,Western Nectar Bat,VU,NT,N,2010.2,
Microakodontomys transitorius,Transitional Colilargo,VU,EN,N,2010.2,
Myrmecophaga tridactyla,Giant Anteater,NT,VU,N,2010.4,
Octodon lunatus,Moon-toothed Degu,VU,NT,N,2010.2,
Paramelomys levipes,Papuan Lowland Paramelomys,DD,LC,N,2010.2,
Petaurista magnificus,Hodgson's Giant Flying Squirrel,NT,LC,N,2010.2,
Petaurista nobilis,Bhutan Giant Flying Squirrel,VU,NT,N,2010.2,
Praomys delectorum,East African Praomys,NT,LC,N,2010.2,
Proechimys goeldii,Goeldi's Spiny Rat,VU,LC,N,2010.2,
Proechimys roberti,Roberto's Spiny Rat,VU,LC,N,2010.2,
Pteropus capistratus,Bismarck Flying Fox,EN,NT,N,2010.2,
Pteropus insularis,Ruck Flying Fox,DD,CR,N,2010.2,
Ratufa indica,Indian Giant Squirrel,NT,LC,N,2010.2,
Reithrodontomys microdon,Small-toothed Harvest Mouse,VU,LC,N,2010.2,
Rhinolophus hillorum,Upland Horseshoe Bat,VU,NT,N,2010.2,
Rhipidomys modicus,Peruvian Rhipidomys,NT,LC,N,2010.2,
Scotonycteris ophiodon,Pohle's Fruit Bat,VU,NT,N,2010.2,
Styloctenium wallacei,Stripe-faced Fruit Bat,VU,NT,N,2010.2,
Tadarida petersoni,"Peterson's Free-tailed Bat
Peterson's Free-tailed Bat
Peterson's Free-tailed Bat",VU,NT,N,2010.2,
Uromys neobritannicus,Bismarck Giant Rat,EN,NT,N,2010.2,
,,,,,,
BIRDS,,,,,,
Amytornis dorotheae,Carpentarian Grasswren,NT,VU,N,2010.3,
Balearica pavonina,Black Crowned-crane,NT,VU,G,2010.3,
Bucorvus cafer,Southern Ground-hornbill,LC,VU,N,2010.3,
Calidris tenuirostris,Great Knot,LC,VU,G,2010.3,
Chaetura pelagica,Chimney Swift,LC,NT,G,2010.3,
Cinclodes palliatus,White-bellied Cinclodes,EN,CR,N,2010.3,
Coturnix japonica,Japanese Quail,LC,NT,N,2010.3,
Crax globulosa,Wattled Curassow,VU,EN,N,2010.3,
Crex crex,Corncrake,NT,LC,N,2010.3,
Cyanolimnas cerverai,Zapata Rail,EN,CR,G,2010.3,
Cyrtonyx ocellatus,Ocellated Quail,NT,VU,N,2010.3,
Dicrurus waldenii,Mayotte Drongo,EN,VU,N,2010.3,
Emberiza jankowskii,Rufous-backed Bunting,VU,EN,G,2010.3,
Falco cherrug,Saker Falcon,EN,VU,N,2010.3,
Francolinus swierstrai,Swierstra's Francolin,VU,EN,N,2010.3,
Gallinago macrodactyla,Madagascar Snipe,NT,VU,N,2010.3,
Gavia adamsii,Yellow-billed Loon,LC,NT,N,2010.3,
Loxia scotica,Scottish Crossbill,DD,LC,N,2010.3,
Monarcha julianae,Black-backed Monarch,DD,VU,N,2010.3,
Mulleripicus pulverulentus,Great Slaty Woodpecker,LC,VU,N,2010.3,
Neotis ludwigii,Ludwig's Bustard,LC,EN,N,2010.3,
Nesofregetta fuliginosa,White-throated Storm-petrel,VU,EN,N,2010.3,
Numenius madagascariensis,Far Eastern Curlew,LC,VU,G,2010.3,
Ognorhynchus icterotis,Yellow-eared Parrot,CR,EN,G,2010.3,
Phoebastria immutabilis,Laysan Albatross,VU,NT,N,2010.3,
Picumnus limae,Ochraceous Piculet,VU,LC,N,2010.3,
Psarocolius cassini,Baudo Oropendola,VU,EN,N,2010.3,
Pycnonotus priocephalus,Grey-headed Bulbul,LC,NT,N,2010.3,
Pyrrhula murina,Azores Bullfinch,CR,EN,N,2010.3,
Robsonius rabori,Rusty-faced Babbler,NT,VU,N,2010.3,
Sitta whiteheadi,Corsican Nuthatch,LC,VU,N,2010.3,
Spheniscus demersus,African Penguin,VU,EN,G,2010.3,
Spizaetus isidori,Black-and-chestnut Eagle,NT,VU,N,2010.3,
Stachyris herberti,Sooty Babbler,NT,LC,N,2010.3,
Sturnus melanopterus,Black-winged Starling,EN,CR,G,2010.3,
Syrmaticus ellioti,Elliot's Pheasant,VU,NT,N,2010.3,
Tachybaptus rufolavatus,Alaotra Grebe,CR,EX,N,2010.3,
Tanysiptera ellioti,Kofiau Paradise-kingfisher,DD,EN,N,2010.3,
Thalassarche eremita,Chatham Albatross,CR,VU,N,2010.3,
,,,,,,
REPTILES,,,,,,
Cuora yunnanensis,Yunnan Box Turtle,EX,CR,N,2010.1,
Aprasia aurita,Eared Worm-lizard,VU,CR,G,2010.4,
Bradypodion setaroi,Setaro's Dwarf Chameleon,EN,LC,N,2010.4,
Bradypodion taeniabronchum,Smith's Dwarf Chamaeleon,CR,EN,N,2010.4,
Cordylus spinosus,Spiny Crag Lizard,LR/nt,LC,N,2010.4,
Ctenosaura oedirhina,Roatán Spiny-tailed Iguana,CR,EN,N,2010.4,
Echiopsis curta,Bardick,VU,NT,N,2010.4,
Elachistodon westermanni,Indian Egg-eater,DD,LC,N,2010.4,
Epicrates inornatus,Yellow Tree Boa,LR/nt,LC,N,2010.4,
Goniurosaurus kuroiwae,Kuroiwa's Ground Gecko,VU,EN,N,2010.4,
Iguana delicatissima,Lesser Antillean Iguana,VU,EN,G,2010.4,
Lamprophis fiskii,Fisk's House Snake,VU,DD,N,2010.4,
Lepidoblepharis montecanoensis,Paraguanan Ground Gecko,CR,DD,N,2010.4,
Liolaemus constanzae,Constanze's Tree Iguana,DD,LC,N,2010.4,
Liolaemus hellmichi,Hellmich's Tree Iguana,DD,LC,N,2010.4,
Lygosoma haroldyoungi,Banded Supple Skink,DD,LC,N,2010.4,
Lygosoma koratense,Korat Supple Skink,DD,LC,N,2010.4,
Oligosoma fallai,Falla's Skink,LR/nt,VU,N,2010.4,
Oligosoma notosaurus,Southern Skink,LR/lc,DD,N,2010.4,
Oligosoma oliveri,Marbled Skink,LR/lc,NT,N,2010.4,
Oligosoma otagense,Otago Skink,VU,EN,G,2010.4,
Phoboscincus bocourti,Bocourt's Eyelid Skink,DD,EN,N,2010.4,
,,,,,,
AMPHIBIANS,,,,,,
Amietia vandijki,,DD,LC,N,2010.3,
Anhydrophryne ngongoniensis,Mistbelt Chirping Frog,CR,EN,N,2010.4,
Arthroleptella drewesii,Drewes’ Moss Frog,DD,NT,N,2010.4,
Breviceps bagginsi,,DD,VU,N,2010.3,
Breviceps gibbosus,Giant Rain Frog,VU,NT,N,2010.3,
Breviceps sopranus,Whistling Rain Frog,DD,LC,N,2010.3,
Breviceps sylvestris,Forest Rain Frog,VU,EN,N,2010.3,
Cacosternum capense,Cape Dainty Frog,VU,NT,N,2010.4,
Cacosternum karooicum,Karoo Dainty Frog,DD,LC,N,2010.4,
Cacosternum striatum,Striped Caco,DD,LC,N,2010.4,
Ghatixalus variabilis,,DD,EN,N,2010.4,
Melanophryniscus spectabilis,,LC,DD,N,2010.4,
Vandijkophrynus amatolicus,Amatola Toad,EN,CR(PE),G,2010.3,
,,,,,,
FISHES,,,,,,
Acipenser baerii,Siberian Sturgeon,VU,EN,N,2010.1,
Acipenser gueldenstaedtii,Russian Sturgeon,EN,CR,N,2010.1,
Acipenser mikadoi,Sakhalin Sturgeon,EN,CR,N,2010.1,
Acipenser naccarii,Adriatic Sturgeon,VU,CR(PE),N,2010.1,
Acipenser nudiventris,Ship Sturgeon,EN,CR,N,2010.1,
Acipenser persicus,Persian Sturgeon,EN,CR,N,2010.1,
Acipenser schrenckii,Amur Sturgeon,EN,CR,N,2010.1,
Acipenser sinensis,Chinese Sturgeon,EN,CR,N,2010.1,
Acipenser stellatus,Stellate Sturgeon,EN,CR,N,2010.1,
Alosa alabamae,Alabama Shad,EN,DD,N,2010.3,
Aphyosemion alpha,,NT,EN,N,2010.3,
Aphyosemion louessense,,LC,VU,N,2010.3,
Barbus deguidei,,LC,DD,N,2010.3,
Barbus luapulae,,DD,LC,N,2010.3,
Benitochromis batesii,,LC,VU,N,2010.3,
Butis butis,Butis butis,LR/nt,LC,N,2010.4,
Centropyge resplendens,Resplendent Pygmy Angelfish,VU,LC,N,2010.4,
Chaetodon flavocoronatus,Yellow-crowned Butterflyfish,VU,LC,N,2010.4,
Chaetodon litus,Easter Island Butterflyfish,VU,LC,N,2010.4,
Chaetodon marleyi,Doublesash Butterflyfish,VU,LC,N,2010.4,
Chaetodon robustus,Three-banded Butterflyfish,VU,LC,N,2010.4,
Chiloglanis lufirae,,CR,DD,N,2010.3,
Chiloglanis reticulatus,,LC,DD,N,2010.3,
Eleotris melanosoma,Broadhead Sleeper,LR/nt,LC,N,2010.4,
Epiplatys esekanus,,DD,LC,N,2010.3,
Fundulopanchax mirabilis,,LC,DD,N,2010.3,
Fundulus waccamensis,Waccamaw Killifish,VU,EN,G,2010.3,
Grasseichthys gabonensis,,LC,VU,N,2010.3,
Haplochromis aelocephalus,,VU,CR(PE),N,2010.3,
Haplochromis arcanus,,EX,DD,N,2010.3,
Haplochromis artaxerxes,,EX,DD,N,2010.3,
Haplochromis bartoni,,EX,DD,N,2010.3,
Haplochromis bayoni,,CR,DD,N,2010.3,
Haplochromis boops,,EX,DD,N,2010.3,
Haplochromis cassius,,EX,CR(PE),N,2010.3,
Haplochromis cavifrons,,CR,DD,N,2010.3,
Haplochromis chilotes,,VU,LC,N,2010.3,
Haplochromis chromogynos,,CR,VU,N,2010.3,
Haplochromis cryptodon,,EN,DD,N,2010.3,
Haplochromis decticostoma,,EX,DD,N,2010.3,
Haplochromis dentex,,EX,CR(PE),N,2010.3,
Haplochromis estor,,EX,DD,N,2010.3,
Haplochromis flavipinnis,,EX,CR(PE),N,2010.3,
Haplochromis flavus,,EN,LC,N,2010.3,
Haplochromis gilberti,,EX,DD,N,2010.3,
Haplochromis gowersi,,EX,DD,N,2010.3,
Haplochromis howesi,Smok,CR,VU,N,2010.3,
Haplochromis ishmaeli,,EW,CR(PE),N,2010.3,
Haplochromis lividus,,EW,DD,N,2010.3,
Haplochromis longirostris,,EX,CR(PE),N,2010.3,
Haplochromis macrognathus,,EX,CR(PE),N,2010.3,
Haplochromis maculipinna,,CR,DD,N,2010.3,
Haplochromis megalops,,CR,VU,N,2010.3,
Haplochromis nigrescens,,EX,DD,N,2010.3,
Haplochromis nubilus,,DD,VU,N,2010.3,
Haplochromis nyanzae,,EX,DD,N,2010.3,
Haplochromis obliquidens,,NT,VU,N,2010.3,
Haplochromis obtusidens,,EX,DD,N,2010.3,
Haplochromis pachycephalus,,EX,DD,N,2010.3,
Haplochromis paraguiarti,,EX,DD,N,2010.3,
Haplochromis paraplagiostoma,,EX,DD,N,2010.3,
Haplochromis perrieri,,EW,CR(PE),N,2010.3,
Haplochromis pharyngomylus,,EX,DD,N,2010.3,
Haplochromis phytophagus,,CR,DD,N,2010.3,
Haplochromis piceatus,,CR,VU,N,2010.3,
Haplochromis plagiodon,,EN,VU,N,2010.3,
Haplochromis plagiostoma,,CR,DD,N,2010.3,
Haplochromis prognathus,,EX,DD,N,2010.3,
Haplochromis pseudopellegrini,,EX,DD,N,2010.3,
Haplochromis pyrrhocephalus,,VU,LC,N,2010.3,
Haplochromis saxicola,,VU,DD,N,2010.3,
Haplochromis serranus,,NT,DD,N,2010.3,
Haplochromis spekii,,CR,DD,N,2010.3,
Haplochromis thuragnathus,,EX,DD,N,2010.3,
Hippocampus sindonis,Dhiho's Seahorse,DD,LC,N,2010.4,
Hoplotilapia retrodens,,EX,VU,N,2010.3,
Huso dauricus,Kaluga,EN,CR,G,2010.1,
Huso huso,Beluga,EN,CR,G,2010.1,
Hypsopanchax modestus,Ruwenzori Lampeye,DD,LC,N,2010.3,
Lithochromis rubripinnis,,CR,LC,N,2010.3,
Lithochromis rufus,,CR,LC,N,2010.3,
Lithochromis xanthopteryx,Black Pseudo-nigricans,CR,VU,N,2010.3,
Macrognathus aral,Spiny Eel,DD,LC,N,2010.4,
Macropleurodus bicolor,,CR,VU,N,2010.3,
Nannocharax hollyi,,LC,DD,N,2010.3,
Nannocharax ogoensis,,LC,DD,N,2010.3,
Neochromis greenwoodi,Velvet Black,VU,LC,N,2010.3,
Neochromis nigricans,,LC,DD,N,2010.3,
Neochromis simotes,,CR,DD,N,2010.3,
Nothobranchius symoensi,,LC,EN,N,2010.3,
Notropis semperasper,Roughhead Shiner,DD,VU,N,2010.3,
Noturus lachneri,Ouachita Madtom,VU,EN,N,2010.3,
Ogilbia galapagosensis,Galapagos Cuskeel,DD,VU,N,2010.3,
Oligolepis keiensis,Kei Goby,LR/nt,LC,N,2010.4,
Parailia occidentalis,,DD,LC,N,2010.3,
Parakneria lufirae,,LC,DD,N,2010.3,
Platytaeniodus degeni,,EW,LC,N,2010.3,
Poeciliopsis elongata,Elongate Toothcarp,LC,NT,N,2010.3,
Priolepis robinsi,,LR/nt,LC,N,2010.4,
Prognathodes obliquus,Oblique Butterflyfish,VU,DD,N,2010.4,
Pseudoscaphirhynchus kaufmanni,False Shovelnose Sturgeon,EN,CR,N,2010.1,
Pundamilia macrocephala,,EN,VU,N,2010.3,
Pyxichromis parorthostoma,,EX,DD,N,2010.3,
Scarus guacamaia,Rainbow Parrotfish,VU,DD,N,2010.4,
Schilbe mystus,African Butter Catfish,VU,LC,N,2010.3,
Schistura sijuensis,,VU,EN,N,2010.4,
Steatocranus rouxi,,LC,DD,N,2010.3,
Synodontis multimaculatus,,LC,DD,N,2010.3,
Synodontis nigrita,Catfish,DD,LC,N,2010.3,
Thalassoma ascensionis,Greenfish,VU,DD,N,2010.4,
Tilapia flava,,VU,CR,N,2010.3,
Trachyglanis intermedius,,LC,DD,N,2010.3,
Xyrauchen texanus,Razorback Sucker,EN,CR,G,2010.3,
,,,,,,
ODONATA,,,,,,
Allocnemis mitwabae,,DD,NT,N,2010.3,
Anax bangweuluensis,Swamp Emperor,DD,NT,N,2010.3,
Anisopleura subplatystyla,,NT,LC,N,2010.4,
Asiagomphus personatus,,DD,NT,N,2010.4,
Azuragrion buchholzi,,DD,NT,N,2010.3,
Boyeria cretensis,Cretan Spectre,VU,EN,N,2010.1,
Burmagomphus sivalikensis,,CR,LC,N,2010.4,
Cephalaeschna acutifrons,,VU,DD,N,2010.4,
Ceriagrion georgifreyi,Turkish Red Damsel,NT,VU,N,2010.3,
Ceriagrion mourae,,DD,LC,N,2010.3,
Chlorocnemis contraria,Red-backed Yellowwing,VU,LC,N,2010.3,
Chlorocnemis pauli,Orange-tipped Threadtail,NT,LC,N,2010.3,
Chlorocnemis wittei,,DD,LC,N,2010.3,
Chlorocypha dahli,,DD,LC,N,2010.3,
