Class,species,no_categories_changed,up_down,due_to_conservation,category_at_start,category_at_end,first_year,second_year
Amphibia,Adelotus brevis,1,u,,LC,NT,1980,2004
Amphibia,Afrixalus nigeriensis,1,u,,LC,NT,1980,2004
Amphibia,Afrixalus spinifrons,1,u,,LC,NT,1980,2004
Amphibia,Agalychnis annae,1,u,,LC,NT,1980,2004
Amphibia,Agalychnis litodryas,1,u,,LC,NT,1980,2004
Amphibia,Agalychnis moreletti,1,u,,LC,NT,1980,2004
Amphibia,Agalychnis saltator,1,u,,LC,NT,1980,2004
Amphibia,Albericus siegfriedi,2,u,,VU,CR,1980,2004
Amphibia,Alsodes barrioi,1,u,,NT,VU,1980,2004
Amphibia,Alsodes montanus,2,u,,VU,CR,1980,2004
Amphibia,Alsodes tumultuosus,2,u,,VU,CR,1980,2004
Amphibia,Alsodes vanzolinii,2,u,,VU,CR,1980,2004
Amphibia,Alytes cisternasii,1,u,,LC,NT,1980,2004
Amphibia,Alytes dickhilleni,1,u,,NT,VU,1980,2004
Amphibia,Alytes muletensis,2,d,y,CR,VU,1980,2004
Amphibia,Ambystoma andersoni,2,u,,VU,CR,1980,2004
Amphibia,Ambystoma barbouri,1,u,,LC,NT,1980,2004
Amphibia,Ambystoma bombypellum,2,u,,VU,CR,1980,2004
Amphibia,Ambystoma dumerilii,2,u,,VU,CR,1980,2004
Amphibia,Ambystoma leorae,2,u,,VU,CR,1980,2004
Amphibia,Ambystoma taylori,2,u,,VU,CR,1980,2004
Amphibia,Amnirana occidentalis,1,u,,VU,EN,1980,2004
Amphibia,Amolops loloensis,1,u,,NT,VU,1980,2004
Amphibia,Andinophryne colomai,2,u,,EN,CR(PE),1980,2004
Amphibia,Andrias davidianus,3,u,,NT,CR,1980,2004
Amphibia,Aneides aeneus,1,u,,LC,NT,1980,2004
Amphibia,Aneides ferreus,1,u,,LC,NT,1980,2004
Amphibia,Ansonia albomaculata,1,u,,LC,NT,1980,2004
Amphibia,Ansonia hanitschi,1,u,,LC,NT,1980,2004
Amphibia,Ansonia leptopus,1,u,,LC,NT,1980,2004
Amphibia,Ansonia longidigita,1,u,,LC,NT,1980,2004
Amphibia,Ansonia spinulifer,1,u,,LC,NT,1980,2004
Amphibia,Argenteohyla siemersi,3,u,,LC,EN,1980,2004
Amphibia,Aromobates nocturnus,2,u,,VU,CR,1980,2004
Amphibia,Arthroleptella ngongoniensis,1,u,,EN,CR,1980,2004
Amphibia,Arthroleptis crusculum,1,u,,VU,EN,1980,2004
Amphibia,Arthroleptis troglodytes,2,u,,VU,CR,1980,2004
Amphibia,Atelognathus patagonicus,1,u,,VU,EN,1980,2004
Amphibia,Atelognathus praebasalticus,2,u,,NT,EN,1980,2004
Amphibia,Atelopus andinus,3,u,,NT,CR,1980,2004
Amphibia,Atelopus angelito,2,u,,VU,CR,1980,2004
Amphibia,Atelopus arsyecue,1,u,,EN,CR,1980,2004
Amphibia,Atelopus arthuri,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus balios,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus bomolochos,2,u,,VU,CR,1980,2004
Amphibia,Atelopus boulengeri,1,u,,EN,CR,1980,2004
Amphibia,Atelopus carauta,1,u,,EN,CR,1980,2004
Amphibia,Atelopus carbonerensis,3,u,,VU,CR(PE),1980,2004
Amphibia,Atelopus carrikeri,1,u,,EN,CR,1980,2004
Amphibia,Atelopus certus,1,u,,VU,EN,1980,2004
Amphibia,Atelopus chiriquiensis,3,u,,VU,CR(PE),1980,2004
Amphibia,Atelopus chocoensis,1,u,,EN,CR,1980,2004
Amphibia,Atelopus chrysocorallus,3,u,,VU,CR(PE),1980,2004
Amphibia,Atelopus coynei,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus cruciger,2,u,,VU,CR,1980,2004
Amphibia,Atelopus ebenoides,1,u,,EN,CR,1980,2004
Amphibia,Atelopus elegans,2,u,,VU,CR,1980,2004
Amphibia,Atelopus erythropus,2,u,,VU,CR,1980,2004
Amphibia,Atelopus eusebianus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus exiguus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus famelicus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus farci,2,u,,VU,CR,1980,2004
Amphibia,Atelopus flavescens,2,u,,LC,VU,1980,2004
Amphibia,Atelopus franciscus,2,u,,LC,VU,1980,2004
Amphibia,Atelopus galactogaster,2,u,,VU,CR,1980,2004
Amphibia,Atelopus glyphus,2,u,,VU,CR,1980,2004
Amphibia,Atelopus guanujo,3,u,,VU,CR(PE),1980,2004
Amphibia,Atelopus guitarraensis,2,u,,VU,CR,1980,2004
Amphibia,Atelopus halihelos,2,u,,VU,CR,1980,2004
Amphibia,Atelopus ignescens,3,u,,VU,EX,1980,2004
Amphibia,Atelopus laetissimus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus limosus,2,u,,NT,EN,1980,2004
Amphibia,Atelopus longibrachius,1,u,,VU,EN,1980,2004
Amphibia,Atelopus longirostris,2,u,,EN,EX,1980,2004
Amphibia,Atelopus lozanoi,2,u,,VU,CR,1980,2004
Amphibia,Atelopus lynchi,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus mandingues,2,u,,VU,CR,1980,2004
Amphibia,Atelopus mindoensis,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus minutulus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus monohernandezi,2,u,,VU,CR,1980,2004
Amphibia,Atelopus mucubajiensis,3,u,,VU,CR(PE),1980,2004
Amphibia,Atelopus muisca,3,u,,VU,CR(PE),1980,2004
Amphibia,Atelopus nahumae,1,u,,EN,CR,1980,2004
Amphibia,Atelopus nanay,3,u,,VU,CR(PE),1980,2004
Amphibia,Atelopus nepiozomus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus nicefori,2,u,,VU,CR,1980,2004
Amphibia,Atelopus oxyrhynchus,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus pachydermus,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus pedimarmoratus,2,u,,VU,CR,1980,2004
Amphibia,Atelopus peruensis,3,u,,NT,CR,1980,2004
Amphibia,Atelopus petriruizi,2,u,,VU,CR,1980,2004
Amphibia,Atelopus pictiventris,1,u,,EN,CR,1980,2004
Amphibia,Atelopus pinangoi,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus planispina,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus pulcher,1,u,,EN,CR,1980,2004
Amphibia,Atelopus quimbaya,2,u,,VU,CR,1980,2004
Amphibia,Atelopus reticulatus,2,u,,VU,CR,1980,2004
Amphibia,Atelopus seminiferus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus senex,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus sernai,1,u,,EN,CR,1980,2004
Amphibia,Atelopus simulatus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus sonsonensis,1,u,,EN,CR,1980,2004
Amphibia,Atelopus sorianoi,2,u,,EN,CR(PE),1980,2004
Amphibia,Atelopus spumarius,2,u,,LC,VU,1980,2004
Amphibia,Atelopus spurrelli,2,u,,LC,VU,1980,2004
Amphibia,Atelopus subornatus,1,u,,EN,CR,1980,2004
Amphibia,Atelopus tamaense,2,u,,VU,CR,1980,2004
Amphibia,Atelopus tricolor,2,u,,LC,VU,1980,2004
