species,common_name,reason_for_change,class,previous_category,current_category,previous_year,current_year
Cephalophus spadix,Abbott<d5>s Duiker,G,MAMMALS,VU,EN,2006,2007
Gazella spekei,Speke<d5>s Gazelle,G,MAMMALS,VU,EN,2006,2007
Gorilla gorilla,Western Gorilla,G,MAMMALS,EN,CR,2006,2007
Lipotes vexillifer,Baiji,G,MAMMALS,CR,CR (PE),2006,2007
Mazama chunyi,Dwarf Brocket Deer,N,MAMMALS,DD,VU,2006,2007
Procapra picticaudata,Tibetan Gazelle,G,MAMMALS,LC,NT,2006,2007
Ardea insignis,White-bellied Heron,N,BIRDS,EN,CR,2006,2007
Aythya innotata,Madagascar Pochard,N,BIRDS,CR (PE),CR,2006,2007
Brachypteryx hyperythra,Rusty-bellied Shortwing,N,BIRDS,VU,NT,2006,2007
Branta ruficollis,Red-breasted Goose,G,BIRDS,VU,EN,2006,2007
Charadrius pallidus,Chestnut-banded Plover,N,BIRDS,LC,NT,2006,2007
Charadrius sanctaehelenae,St Helena Plover,G,BIRDS,VU,CR,2006,2007
Chthonicola sagittatus,Speckled Warbler,N,BIRDS,NT,LC,2006,2007
Cinclodes pabsti,Long-tailed Cinclodes,N,BIRDS,LC,NT,2006,2007
Coeligena orina,Dusky Starfrontlet,N,BIRDS,LC,CR,2006,2007
Corvus unicolor,Banggai Crow,N,BIRDS,CR (PE),CR,2006,2007
Euphagus carolinus,Rusty Blackbird,N,BIRDS,LC,VU,2006,2007
Eurystomus azureus,Purple Dollarbird,N,BIRDS,VU,NT,2006,2007
Ficedula henrici,Damar Flycatcher,N,BIRDS,VU,NT,2006,2007
Francolinus streptophorus,Ring-necked Francolin,N,BIRDS,LC,NT,2006,2007
Gallicolumba crinigera,Mindanao Bleeding-heart,N,BIRDS,EN,VU,2006,2007
Garrulax courtoisi,Blue-crowned Laughingthrush,N,BIRDS,LC,CR,2006,2007
Gypopsitta pyrilia,Saffron-headed Parrot,N,BIRDS,VU,NT,2006,2007
Gyps africanus,White-backed Vulture,N,BIRDS,LC,NT,2006,2007
Gyps rueppellii,Rueppell<d5>s Vulture,N,BIRDS,LC,NT,2006,2007
Heteromirafra sidamoensis,Sidamo Lark,N,BIRDS,VU,EN,2006,2007
Heteromunia pectoralis,Pictorella Munia,N,BIRDS,NT,LC,2006,2007
Houbaropsis bengalensis,Bengal Florican,G,BIRDS,EN,CR,2006,2007
Macroagelaius subalaris,Mountain Grackle,N,BIRDS,CR,EN,2006,2007
Macronectes giganteus,Southern Giant-petrel,N,BIRDS,VU,NT,2006,2007
Melamprosops phaeosoma,Poo-uli,N,BIRDS,CR,CR (PE),2006,2007
Neophron percnopterus,Egyptian Vulture,G,BIRDS,LC,EN,2006,2007
Oxyura maccoa,Maccoa Duck,N,BIRDS,LC,NT,2006,2007
Pelecanus philippensis,Spot-billed Pelican,N,BIRDS,VU,NT,2006,2007
Penelopina nigra,Highland Guan,N,BIRDS,NT,VU,2006,2007
Phapitreron cinereiceps,Tawitawi Brown-dove,N,BIRDS,CR,EN,2006,2007
Phoebastria irrorata,Waved Albatross,G,BIRDS,VU,CR,2006,2007
Procellaria conspicillata,Speckled Petrel,N,BIRDS,CR,VU,2006,2007
Psittacula eques,Mauritius Parakeet,G,BIRDS,CR,EN,2006,2007
Psittacus erithacus,Grey Parrot,N,BIRDS,LC,NT,2006,2007
Sarcogyps calvus,Red-headed Vulture,G,BIRDS,LC,VU,2006,2007
Sheppardia gunningi,East Coast Akalat,N,BIRDS,VU,NT,2006,2007
Siphonorhis brewsteri,Least Pauraque,N,BIRDS,DD,NT,2006,2007
Trigonoceps occipitalis,White-headed Vulture,N,BIRDS,LC,VU,2006,2007
Species removed from the IUCN Red List for taxonomic reasons:,,,BIRDS,,,2006,2007
Andropadus chlorigula,Green-throated Greenbul,synonym of A. nigriceps,BIRDS,LC,NR,2006,2007
Aratinga strenua,Pacific Parakeet,synonym of A. holochlora,BIRDS,LC,NR,2006,2007
Asturina plagiata,Grey Hawk,synonym of Buteo nitidus,BIRDS,LC,NR,2006,2007
Crypturellus columbianus,Colombian Tinamou,synonym of C. erythropus,BIRDS,EN,NR,2006,2007
Crypturellus salutarius,Magdalena Tinamou,synonym of C. erythropus,BIRDS,CR,NR,2006,2007
Gerygone hypoxantha,Biak Gerygone,synonym of G. magnirostris,BIRDS,EN,NR,2006,2007
Spizella taverneri,Timberline Sparrow,synonym of S. breweri,BIRDS,LC,NR,2006,2007
Suiriri affinis,Campo Suiriri,synonym of S. suiriri,BIRDS,LC,NR,2006,2007
Sylvietta chapini,Chapin<d5>s Crombec,synonym of S. leucophrys,BIRDS,LC,NR,2006,2007
Tangara cyanomelas,Silvery-breasted Tanager,synonym of T. velia,BIRDS,LC,NR,2006,2007
Aspidoscelis hyperythra,Orangethroat Whiptail,N,REPTILES,DD,LC,2006,2007
Gavialis gangeticus,Gharial,G,REPTILES,EN,CR,2006,2007
Heloderma horridum,Beaded Lizard,N,REPTILES,VU,LC,2006,2007
Heloderma suspectum,Gila Monster,N,REPTILES,VU,NT,2006,2007
Kinosternon creaseri,Yucatan Mud Turtle,N,REPTILES,LR/nt,LC,2006,2007
Kinosternon oaxacae,Oaxaca Mud Turtle,N,REPTILES,LR/nt,DD,2006,2007
Rhinoclemmys rubida,Mexican Spotted Wood Turtle,N,REPTILES,VU,NT,2006,2007
Thamnophis hammondii,Two-striped Gartersnake,N,REPTILES,DD,LC,2006,2007
Xantusia riversiana,Island Night Lizard,N,REPTILES,VU,LC,2006,2007
Species removed from the IUCN Red List for taxonomic reasons:,,,REPTILES,,,2006,2007
Mauremys iversoni,Fujian Pond Turtle,hybrid,REPTILES,DD,NR,2006,2007
Mauremys pritchardi,,hybrid,REPTILES,DD,NR,2006,2007
Ocadia glyphistoma,,hybrid,REPTILES,DD,NR,2006,2007
Ocadia philippeni,Philippen<d5>s Striped Turtle,hybrid,REPTILES,DD,NR,2006,2007
Sacalia pseudocellata,Chinese False-eyed Turtle,hybrid,REPTILES,DD,NR,2006,2007
Serranochromis meridianus,Lowveld Largemouth,G,FISHES,LR/cd,EN,2006,2007
Sphyrna mokarran,Great Hammerhead Shark,N,FISHES,DD,EN,2006,2007
Squatina aculeata,Sawback Angelshark,N,FISHES,EN,CR,2006,2007
Squatina guggenheim,Hidden Angelshark,N,FISHES,VU,EN,2006,2007
Squatina oculata,Smoothback Angelshark,N,FISHES,EN,CR,2006,2007
Croilia mossambica,Burrowing Goby,N,FISHES,LR/nt,LC,2006,2007
Barbus andrewi,Berg-Breede River Whitefish,N,FISHES,VU,EN,2006,2007
Barbus brevipinnis,Shortfin Barb,N,FISHES,VU,NT,2006,2007
Barbus calidus,Clanwilliam Redfin,N,FISHES,EN,VU,2006,2007
Barbus hospes,Namaquab Barb,N,FISHES,LR/nt,LC,2006,2007
Barbus treurensis,Treur River Barb,N,FISHES,LR/cd,EN,2006,2007
Barbus trevelyani,Border Barb,N,FISHES,CR,EN,2006,2007
Labeo seeberi,Clanwilliam Sandfish,N,FISHES,CR,EN,2006,2007
Opsaridium peringueyi,Southern Barred Minnow,N,FISHES,VU,LC,2006,2007
Pseudobarbus afer,Eastern Cape Redfin,N,FISHES,LR/nt,EN,2006,2007
Pseudobarbus asper,Smallscale Redfin,N,FISHES,VU,EN,2006,2007
Pseudobarbus burchelli,Tradou Redfin,N,FISHES,EN,CR,2006,2007
Pseudobarbus burgi,Berg River Redfin,N,FISHES,CR,EN,2006,2007
Pseudobarbus quathlambae,Maloti Redfin,N,FISHES,CR,EN,2006,2007
Pseudobarbus tenuis,Slender Redfin,N,FISHES,EN,NT,2006,2007
Nothobranchius kafuensis,Caprivi Killifish,N,FISHES,EN,LC,2006,2007
Nothobranchius kirki,Kirk's Killifish,N,FISHES,DD,LC,2006,2007
Nothobranchius orthonotus,Spotted Killifish,N,FISHES,VU,LC,2006,2007
Sandelia capensis,Cape Kurper,N,FISHES,LR/lc,DD,2006,2007
Chetia brevis,Orange-Fringed River Bream,N,FISHES,VU,EN,2006,2007
Redigobius dewaali,Checked Goby,N,FISHES,LR/nt,LC,2006,2007
Silhouettea sibayi,Sibayi Goby,N,FISHES,LR/nt,EN,2006,2007
Cromileptes altivelis,Humpback Grouper,N,FISHES,DD,VU,2006,2007
Mycteroperca jordani,Gulf Grouper,N,FISHES,VU,EN,2006,2007
Galaxias zebratus,Cape Galaxias,N,FISHES,LR/nt,DD,2006,2007
Austroglanis barnardi,Spotted Rock Catfish,N,FISHES,CR,EN,2006,2007
Austroglanis sclateri,Rock Catfish,N,FISHES,DD,LC,2006,2007
Chiloglanis bifurcus,Incomati Suckermouth,N,FISHES,CR,EN,2006,2007
Aciagrion heterosticta,,N,INVERTEBRATES,LC,DD,2006,2007
Aeshna persephone,Persephone's Darner,N,INVERTEBRATES,VU,LC,2006,2007
Africallagma cuneistigma,,N,INVERTEBRATES,EN,VU,2006,2007
Anoglypta launcestonensis,Granulated Tasmanian Snail,N,INVERTEBRATES,VU,NT,2006,2007
Bellamya monardi,,N,INVERTEBRATES,EN,NT,2006,2007
Biomphalaria angulosa,,N,INVERTEBRATES,LR/nt,LC,2006,2007
Biomphalaria salinarum,,N,INVERTEBRATES,LR/nt,DD,2006,2007
Bulinus canescens,,N,INVERTEBRATES,LR/nt,LC,2006,2007
Discocharopa mimosa,,N,INVERTEBRATES,DD,LC,2006,2007
Ecchlorolestes nylephtha,Queen Malachite,N,INVERTEBRATES,LC,NT,2006,2007
Enallagma recurvatum,Pine Barrens Bluet,N,INVERTEBRATES,VU,LC,2006,2007
Gomphus consanguis,Cherokee Clubtail,N,INVERTEBRATES,VU,EN,2006,2007
Gomphus sandrius,Tennessee Clubtail,N,INVERTEBRATES,EN,VU,2006,2007
Gomphus septima,Septima's Clubtail,N,INVERTEBRATES,VU,LC,2006,2007
Ischnura gemina,San Francisco Forktail,N,INVERTEBRATES,EN,VU,2006,2007
Lanistes neavei,,N,INVERTEBRATES,VU,LC,2006,2007
Metacnemis angusta,Ceres Stream-Damsel,N,INVERTEBRATES,DD,VU,2006,2007
Nehalennia pallidula,Everglades Sprite,N,INVERTEBRATES,VU,NT,2006,2007
Neurogomphus dissimilis,,N,INVERTEBRATES,LC,DD,2006,2007
Notogomphus zernyi,,N,INVERTEBRATES,LC,DD,2006,2007
Ophiogomphus acuminatus,Acuminate Snaketail,N,INVERTEBRATES,VU,NT,2006,2007
Ophiogomphus anomalus,Extra-striped Snaketail,N,INVERTEBRATES,LR/nt,LC,2006,2007
Ophiogomphus howei,Pygmy Snaketail,N,INVERTEBRATES,VU,LC,2006,2007
Paragomphus cataractae,Cataract Hooktail,N,INVERTEBRATES,VU,NT,2006,2007
Pila occidentalis,,N,INVERTEBRATES,LR/nt,LC,2006,2007
Planilaoma luckmanii,,N,INVERTEBRATES,DD,LC,2006,2007
Progomphus bellei,Belle's Sanddragon,N,INVERTEBRATES,VU,NT,2006,2007
Somatochlora hineana,Hine's Emerald,N,INVERTEBRATES,EN,NT,2006,2007
Afrocarpus dawei,,N,PLANTS,LR/lc,NT,2006,2007
Afrocarpus usambarensis,,N,PLANTS,DD,VU,2006,2007
Chlorocardium rodiei,Greenheart,N,PLANTS,VU,DD,2006,2007
Dacrydium cornwalliana,,N,PLANTS,DD,LC,2006,2007
Dacrydium leptophyllum,,N,PLANTS,DD,VU,2006,2007
Dacrydium spathoides,,N,PLANTS,DD,NT,2006,2007
Falcatifolium sleumeri,,N,PLANTS,DD,NT,2006,2007
Hopea subalata,Giam,N,PLANTS,EN,CR,2006,2007
Microbiota decussata,,N,PLANTS,DD,LC,2006,2007
Nageia fleuryi,,N,PLANTS,DD,NT,2006,2007
Pinus bhutanica,,N,PLANTS,DD,LC,2006,2007
Pinus bungeana,,N,PLANTS,DD,LC,2006,2007
Pinus dalatensis,,N,PLANTS,VU,DD,2006,2007
Pinus greggii,,N,PLANTS,DD,NT,2006,2007
Podocarpus acuminatus,,N,PLANTS,DD,NT,2006,2007
Podocarpus atjehensis,,N,PLANTS,DD,NT,2006,2007
Podocarpus barretoi,,N,PLANTS,DD,NT,2006,2007
Podocarpus borneensis,,N,PLANTS,DD,LC,2006,2007
Podocarpus capuronii,,N,PLANTS,DD,EN,2006,2007
Podocarpus costaricensis,,N,PLANTS,DD,VU,2006,2007
Podocarpus deflexus,,N,PLANTS,DD,EN,2006,2007
Podocarpus dispermus,,N,PLANTS,DD,NT,2006,2007
Podocarpus globulus,,N,PLANTS,DD,EN,2006,2007
Podocarpus guatemalensis,,N,PLANTS,DD,LC,2006,2007
Podocarpus humbertii,,N,PLANTS,DD,EN,2006,2007
Podocarpus lambertii,,N,PLANTS,DD,NT,2006,2007
Podocarpus laubenfelsii,,N,PLANTS,DD,EN,2006,2007
Podocarpus longifoliolatus,,N,PLANTS,LR/lc,EN,2006,2007
Podocarpus matudae ,,N,PLANTS,DD,NT,2006,2007
Podocarpus palawanensis ,,N,PLANTS,DD,CR,2006,2007
Podocarpus pallidus ,,N,PLANTS,DD,VU,2006,2007
Podocarpus pendulifolius ,,N,PLANTS,DD,EN,2006,2007
Podocarpus perrieri ,,N,PLANTS,DD,CR,2006,2007
Species removed from the IUCN Red List for taxonomic reasons:,,,PLANTS,,,2006,2007
Ptychosperma bleeseri,,synonym of P. macarthurii,PLANTS,CR,NR,2006,2007
Gulo gulo,Wolverine,G,MAMMALS,VU,NT,2007,2008
Mustela nigripes,Black-footed Ferret,G,MAMMALS,EW,EN,2007,2008
Arctocephalus philippii,Juan Fern<87>ndez Fur Seal,G,MAMMALS,VU,NT,2007,2008
Arctocephalus townsendi,Guadalupe Fur Seal,G,MAMMALS,VU,NT,2007,2008
Balaena mysticetus,Bowhead Whale,G,MAMMALS,LR/cd,LC,2007,2008
Eubalaena australis,Southern Right Whale,G,MAMMALS,LR/cd,LC,2007,2008
Megaptera novaeangliae,Humpback Whale,G,MAMMALS,VU,LC,2007,2008
Bison bonasus,European Bison,G,MAMMALS,EN,VU,2007,2008
Capra pyrenaica,Spanish Ibex,G,MAMMALS,LR/nt,LC,2007,2008
Capra walie,Walia Ibex,G,MAMMALS,CR,EN,2007,2008
Procapra przewalskii,Przewalski's Gazelle,G,MAMMALS,CR,EN,2007,2008
Rupicapra pyrenaica,Pyrenean Chamoix,G,MAMMALS,LR/cd,LC,2007,2008
Eschrichtius robustus,Gray Whale,G,MAMMALS,LR/cd,LC,2007,2008
Pteropus dasymallus,Ryukyu Flying Fox,G,MAMMALS,EN,NT,2007,2008
Pteropus molossinus,Pohnpei Flying Fox,G,MAMMALS,CR,VU,2007,2008
Pteropus samoensis,Samoan Flying Fox,G,MAMMALS,VU,NT,2007,2008
Corynorhinus rafinesquii,Rafinesque's Big-eared Bat,G,MAMMALS,VU,LC,2007,2008
Corynorhinus townsendii,Townsend's Big-eared Bat,G,MAMMALS,VU,LC,2007,2008
Myotis emarginatus,Geoffroy's Bat,G,MAMMALS,VU,LC,2007,2008
Myotis grisescens,Gray Myotis,G,MAMMALS,EN,NT,2007,2008
Dasyurus geoffroii,Western Quoll,G,MAMMALS,VU,NT,2007,2008
Dendrolagus lumholtzi,Lumholtz's Tree Kangaroo,G,MAMMALS,LR/nt,LC,2007,2008
Macropus irma,Western Brush Wallaby,G,MAMMALS,LR/nt,LC,2007,2008
Bettongia lesueur,Burrowing Bettong,G,MAMMALS,VU,NT,2007,2008
Pseudochirulus cinereus,Daintree River Ringtail Possum,G,MAMMALS,LR/nt,LC,2007,2008
Pseudochirulus herbertensis,Herbert River Ringtail Possum,G,MAMMALS,LR/nt,LC,2007,2008
Equus ferus,Wild Horse,G,MAMMALS,EW,CR,2007,2008
Equus zebra,Mountain Zebra,G,MAMMALS,EN,VU,2007,2008
Rhinoceros unicornis,Indian Rhinoceros,G,MAMMALS,EN,VU,2007,2008
Leontopithecus chrysopygus,Black Lion Tamarin,G,MAMMALS,CR,EN,2007,2008
Loxodonta africana,African Elephant,G,MAMMALS,VU,NT,2007,2008
Castor fiber,Eurasian Beaver,G,MAMMALS,NT,LC,2007,2008
Leporillus conditor,Greater Stick-nest Rat,G,MAMMALS,EN,VU,2007,2008
Pseudomys fieldi,Shark Bay Mouse,G,MAMMALS,CR,VU,2007,2008
Pseudomys occidentalis,Western Mouse,G,MAMMALS,EN,LC,2007,2008
Spermophilus suslicus,Speckled Ground Squirrel,G,MAMMALS,VU,NT,2007,2008
Spermophilus washingtoni,Washington Ground Squirrel,G,MAMMALS,VU,NT,2007,2008
Panthera pardus,Leopard,G,MAMMALS,LC,NT,2007,2008
Prionailurus planiceps,Flat-headed Cat,G,MAMMALS,VU,EN,2007,2008
Prionailurus viverrinus,Fishing Cat,G,MAMMALS,VU,EN,2007,2008
Spilogale pygmaea,Pygmy Spotted Skunk,G,MAMMALS,LR/lc,VU,2007,2008
Aonyx cinerea,Asian Small-Clawed Otter,G,MAMMALS,NT,VU,2007,2008
Mustela altaica,Altai Weasel,G,MAMMALS,LR/lc,NT,2007,2008
Vormela peregusna,Marbled Polecat,G,MAMMALS,LR/lc,VU,2007,2008
Arctocephalus galapagoensis,Gal<87>pagos Fur Seal,G,MAMMALS,VU,EN,2007,2008
Neophoca cinerea,Australian Sea Lion,G,MAMMALS,LR/lc,EN,2007,2008
Zalophus wollebaeki,Gal<87>pagos Sea Lion,G,MAMMALS,VU,EN,2007,2008
Monachus schauinslandi,Hawaiian Monk Seal,G,MAMMALS,EN,CR,2007,2008
Hemigalus derbyanus,Banded Civet,G,MAMMALS,LR/lc,VU,2007,2008
Paradoxurus zeylonensis,Golden Palm Civet,G,MAMMALS,LR/lc,VU,2007,2008
Cephalophus jentinki,Jentink's Duiker,G,MAMMALS,VU,EN,2007,2008
Kobus megaceros,Nile Lechwe,G,MAMMALS,LR/nt,EN,2007,2008
Axis kuhlii,Bawean Deer,G,MAMMALS,EN,CR,2007,2008
Hydropotes inermis,Chinese Water Deer,G,MAMMALS,LR/nt,VU,2007,2008
