"species","common_name","reason_for_change","class","previous_category","current_category","previous_year","current_year"
"Cephalophus spadix","Abbott’s Duiker","G","MAMMALS","VU","EN",2006,2007
"Gazella spekei","Speke’s Gazelle","G","MAMMALS","VU","EN",2006,2007
"Gorilla gorilla","Western Gorilla","G","MAMMALS","EN","CR",2006,2007
"Lipotes vexillifer","Baiji","G","MAMMALS","CR","CR",2006,2007
"Procapra picticaudata","Tibetan Gazelle","G","MAMMALS","LC","NT",2006,2007
"Branta ruficollis","Red-breasted Goose","G","BIRDS","VU","EN",2006,2007
"Charadrius sanctaehelenae","St Helena Plover","G","BIRDS","VU","CR",2006,2007
"Houbaropsis bengalensis","Bengal Florican","G","BIRDS","EN","CR",2006,2007
"Neophron percnopterus","Egyptian Vulture","G","BIRDS","LC","EN",2006,2007
"Phoebastria irrorata","Waved Albatross","G","BIRDS","VU","CR",2006,2007
"Psittacula eques","Mauritius Parakeet","G","BIRDS","CR","EN",2006,2007
"Sarcogyps calvus","Red-headed Vulture","G","BIRDS","LC","VU",2006,2007
"Gulo gulo","Wolverine","G","MAMMALS","VU","NT",2007,2008
"Mustela nigripes","Black-footed Ferret","G","MAMMALS","EW","EN",2007,2008
"Arctocephalus philippii","Juan Fernández Fur Seal","G","MAMMALS","VU","NT",2007,2008
"Arctocephalus townsendi","Guadalupe Fur Seal","G","MAMMALS","VU","NT",2007,2008
"Balaena mysticetus","Bowhead Whale","G","MAMMALS","LR/cd","LC",2007,2008
"Eubalaena australis","Southern Right Whale","G","MAMMALS","LR/cd","LC",2007,2008
"Megaptera novaeangliae","Humpback Whale","G","MAMMALS","VU","LC",2007,2008
"Bison bonasus","European Bison","G","MAMMALS","EN","VU",2007,2008
"Capra pyrenaica","Spanish Ibex","G","MAMMALS","LR/nt","LC",2007,2008
"Capra walie","Walia Ibex","G","MAMMALS","CR","EN",2007,2008
"Procapra przewalskii","Przewalski's Gazelle","G","MAMMALS","CR","EN",2007,2008
"Rupicapra pyrenaica","Pyrenean Chamoix","G","MAMMALS","LR/cd","LC",2007,2008
"Eschrichtius robustus","Gray Whale","G","MAMMALS","LR/cd","LC",2007,2008
"Pteropus dasymallus","Ryukyu Flying Fox","G","MAMMALS","EN","NT",2007,2008
"Pteropus molossinus","Pohnpei Flying Fox","G","MAMMALS","CR","VU",2007,2008
"Pteropus samoensis","Samoan Flying Fox","G","MAMMALS","VU","NT",2007,2008
"Corynorhinus rafinesquii","Rafinesque's Big-eared Bat","G","MAMMALS","VU","LC",2007,2008
"Corynorhinus townsendii","Townsend's Big-eared Bat","G","MAMMALS","VU","LC",2007,2008
"Myotis emarginatus","Geoffroy's Bat","G","MAMMALS","VU","LC",2007,2008
"Myotis grisescens","Gray Myotis","G","MAMMALS","EN","NT",2007,2008
"Dasyurus geoffroii","Western Quoll","G","MAMMALS","VU","NT",2007,2008
"Dendrolagus lumholtzi","Lumholtz's Tree Kangaroo","G","MAMMALS","LR/nt","LC",2007,2008
"Macropus irma","Western Brush Wallaby","G","MAMMALS","LR/nt","LC",2007,2008
"Bettongia lesueur","Burrowing Bettong","G","MAMMALS","VU","NT",2007,2008
"Pseudochirulus cinereus","Daintree River Ringtail Possum","G","MAMMALS","LR/nt","LC",2007,2008
"Pseudochirulus herbertensis","Herbert River Ringtail Possum","G","MAMMALS","LR/nt","LC",2007,2008
"Equus ferus","Wild Horse","G","MAMMALS","EW","CR",2007,2008
"Equus zebra","Mountain Zebra","G","MAMMALS","EN","VU",2007,2008
"Rhinoceros unicornis","Indian Rhinoceros","G","MAMMALS","EN","VU",2007,2008
"Leontopithecus chrysopygus","Black Lion Tamarin","G","MAMMALS","CR","EN",2007,2008
"Loxodonta africana","African Elephant","G","MAMMALS","VU","NT",2007,2008
"Castor fiber","Eurasian Beaver","G","MAMMALS","NT","LC",2007,2008
"Leporillus conditor","Greater Stick-nest Rat","G","MAMMALS","EN","VU",2007,2008
"Pseudomys fieldi","Shark Bay Mouse","G","MAMMALS","CR","VU",2007,2008
"Pseudomys occidentalis","Western Mouse","G","MAMMALS","EN","LC",2007,2008
"Spermophilus suslicus","Speckled Ground Squirrel","G","MAMMALS","VU","NT",2007,2008
"Spermophilus washingtoni","Washington Ground Squirrel","G","MAMMALS","VU","NT",2007,2008
"Panthera pardus","Leopard","G","MAMMALS","LC","NT",2007,2008
"Prionailurus planiceps","Flat-headed Cat","G","MAMMALS","VU","EN",2007,2008
"Prionailurus viverrinus","Fishing Cat","G","MAMMALS","VU","EN",2007,2008
"Spilogale pygmaea","Pygmy Spotted Skunk","G","MAMMALS","LR/lc","VU",2007,2008
"Aonyx cinerea","Asian Small-Clawed Otter","G","MAMMALS","NT","VU",2007,2008
"Mustela altaica","Altai Weasel","G","MAMMALS","LR/lc","NT",2007,2008
"Vormela peregusna","Marbled Polecat","G","MAMMALS","LR/lc","VU",2007,2008
"Arctocephalus galapagoensis","Galápagos Fur Seal","G","MAMMALS","VU","EN",2007,2008
"Neophoca cinerea","Australian Sea Lion","G","MAMMALS","LR/lc","EN",2007,2008
"Zalophus wollebaeki","Galápagos Sea Lion","G","MAMMALS","VU","EN",2007,2008
"Monachus schauinslandi","Hawaiian Monk Seal","G","MAMMALS","EN","CR",2007,2008
"Hemigalus derbyanus","Banded Civet","G","MAMMALS","LR/lc","VU",2007,2008
"Paradoxurus zeylonensis","Golden Palm Civet","G","MAMMALS","LR/lc","VU",2007,2008
"Cephalophus jentinki","Jentink's Duiker","G","MAMMALS","VU","EN",2007,2008
"Kobus megaceros","Nile Lechwe","G","MAMMALS","LR/nt","EN",2007,2008
"Axis kuhlii","Bawean Deer","G","MAMMALS","EN","CR",2007,2008
"Hydropotes inermis","Chinese Water Deer","G","MAMMALS","LR/nt","VU",2007,2008
"Rucervus eldii","Eld's Deer","G","MAMMALS","VU","EN",2007,2008
"Rusa timorensis","Javan Rusa","G","MAMMALS","LR/lc","VU",2007,2008
"Rusa unicolor","Sambar","G","MAMMALS","LR/lc","VU",2007,2008
"Sus barbatus","Bearded Pig","G","MAMMALS","LR/lc","VU",2007,2008
"Sus celebensis","Sulawesi Warty Pig","G","MAMMALS","LR/lc","NT",2007,2008
"Tayassu pecari","White-Lipped Peccary","G","MAMMALS","LR/lc","NT",2007,2008
"Amorphochilus schnablii","Smoky Bat","G","MAMMALS","VU","EN",2007,2008
"Coelops robinsoni","Malayan Tailless Leaf-nosed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Tadarida johorensis","Northern Free-tailed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Tadarida mops","Malayan Free-tailed Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Nycteris tragata","Malayan Slit-faced Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Lonchorhina fernandezi","Fernandez's Sword-Nosed Bat","G","MAMMALS","VU","EN",2007,2008
"Lonchorhina orinocensis","Orinoco Sword-Nosed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Platyrrhinus chocoensis","Choco Broad-Nosed Bat","G","MAMMALS","VU","EN",2007,2008
"Acerodon mackloti","Sunda Fruit Bat","G","MAMMALS","LR/lc","VU",2007,2008
"Eidolon helvum","Straw-Coloured Fruit Bat","G","MAMMALS","LC","NT",2007,2008
"Megaerops wetmorei","White-collared Fruit Bat","G","MAMMALS","LR/lc","VU",2007,2008
"Pteropus caniceps","North Moluccan Flying Fox","G","MAMMALS","LR/lc","NT",2007,2008
"Pteropus lylei","Lyle's Flying Fox","G","MAMMALS","LR/lc","VU",2007,2008
"Pteropus melanopogon","Black-bearded Flying Fox","G","MAMMALS","LR/lc","EN",2007,2008
"Pteropus niger","Mauritan Flying Fox","G","MAMMALS","VU","EN",2007,2008
"Pteropus temminckii","Temminck's Flying Fox","G","MAMMALS","LR/nt","VU",2007,2008
"Pteropus vampyrus","Large Flying-fox","G","MAMMALS","LR/lc","NT",2007,2008
"Pteropus woodfordi","Dwarf Flying Fox","G","MAMMALS","LR/lc","VU",2007,2008
"Rousettus bidens","Manado Rousette","G","MAMMALS","LR/nt","VU",2007,2008
"Styloctenium wallacei","Stripe-faced Fruit Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Rhinolophus cognatus","Andaman Horseshoe Bat","G","MAMMALS","VU","EN",2007,2008
"Rhinolophus sedulus","Lesser Wooly Horseshoe Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Corynorhinus mexicanus","Mexican Big-eared Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Hesperoptenus tomesi","Large False Serotine","G","MAMMALS","LR/lc","VU",2007,2008
"Kerivoula pellucida","Clear-winged Woolly Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Murina aenea","Bronze Tube-nosed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Murina rozendaali","Gilded Tube-nosed Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Phoniscus atrox","Groove-toothed Trumpet-eared Bat","G","MAMMALS","LR/lc","NT",2007,2008
"Rhogeessa minutilla","Tiny Yellow Bat","G","MAMMALS","LR/nt","VU",2007,2008
"Dasyurus hallucatus","Northern Quoll","G","MAMMALS","LR/nt","EN",2007,2008
"Pseudantechinus bilarni","Sandstone Pseudantechinus","G","MAMMALS","LR/lc","NT",2007,2008
"Sarcophilus harrisii","Tasmanian Devil","G","MAMMALS","LR/lc","EN",2007,2008
"Myrmecobius fasciatus","Numbat","G","MAMMALS","VU","EN",2007,2008
"Burramys parvus","Mountain Pygmy Possum","G","MAMMALS","EN","CR",2007,2008
"Dendrolagus mbaiso","Dingiso","G","MAMMALS","VU","CR",2007,2008
"Dendrolagus scottae","Tenkile","G","MAMMALS","EN","CR",2007,2008
"Dorcopsis luctuosa","Grey Dorcopsis","G","MAMMALS","LR/lc","VU",2007,2008
"Dorcopsulus vanheurni","Small Dorcopsis","G","MAMMALS","LR/lc","NT",2007,2008
