class,Binomial,category_at_start,category_at_end,first_year,second_year,numeric_category_at_start,numeric_category_at_end,Delta_Status
MAMMALS,Cephalophus spadix,VU,EN,2006,2007,2,3,-1
MAMMALS,Gazella spekei,VU,EN,2006,2007,2,3,-1
MAMMALS,Gorilla gorilla,EN,CR,2006,2007,3,4,-1
MAMMALS,Lipotes vexillifer,CR,CR (PE),2006,2007,4,NA,NA
MAMMALS,Procapra picticaudata,LC,NT,2006,2007,0,1,-1
BIRDS,Branta ruficollis,VU,EN,2006,2007,2,3,-1
BIRDS,Charadrius sanctaehelenae,VU,CR,2006,2007,2,4,-2
BIRDS,Houbaropsis bengalensis,EN,CR,2006,2007,3,4,-1
BIRDS,Neophron percnopterus,LC,EN,2006,2007,0,3,-3
BIRDS,Phoebastria irrorata,VU,CR,2006,2007,2,4,-2
BIRDS,Psittacula eques,CR,EN,2006,2007,4,3,1
BIRDS,Sarcogyps calvus,LC,VU,2006,2007,0,2,-2
REPTILES,Gavialis gangeticus,EN,CR,2006,2007,3,4,-1
FISHES,Serranochromis meridianus,NT,EN,2006,2007,1,3,-2
MAMMALS,Gulo gulo,VU,NT,2007,2008,2,1,1
MAMMALS,Mustela nigripes,EW,EN,2007,2008,NA,3,NA
MAMMALS,Arctocephalus philippii,VU,NT,2007,2008,2,1,1
MAMMALS,Arctocephalus townsendi,VU,NT,2007,2008,2,1,1
MAMMALS,Balaena mysticetus,NT,LC,2007,2008,1,0,1
MAMMALS,Eubalaena australis,NT,LC,2007,2008,1,0,1
MAMMALS,Megaptera novaeangliae,VU,LC,2007,2008,2,0,2
MAMMALS,Bison bonasus,EN,VU,2007,2008,3,2,1
MAMMALS,Capra pyrenaica,LR/nt,LC,2007,2008,NA,0,NA
MAMMALS,Capra walie,CR,EN,2007,2008,4,3,1
MAMMALS,Procapra przewalskii,CR,EN,2007,2008,4,3,1
MAMMALS,Rupicapra pyrenaica,NT,LC,2007,2008,1,0,1
MAMMALS,Eschrichtius robustus,NT,LC,2007,2008,1,0,1
MAMMALS,Pteropus dasymallus,EN,NT,2007,2008,3,1,2
MAMMALS,Pteropus molossinus,CR,VU,2007,2008,4,2,2
MAMMALS,Pteropus samoensis,VU,NT,2007,2008,2,1,1
MAMMALS,Corynorhinus rafinesquii,VU,LC,2007,2008,2,0,2
MAMMALS,Corynorhinus townsendii,VU,LC,2007,2008,2,0,2
MAMMALS,Myotis emarginatus,VU,LC,2007,2008,2,0,2
MAMMALS,Myotis grisescens,EN,NT,2007,2008,3,1,2
MAMMALS,Dasyurus geoffroii,VU,NT,2007,2008,2,1,1
MAMMALS,Dendrolagus lumholtzi,LR/nt,LC,2007,2008,NA,0,NA
MAMMALS,Macropus irma,LR/nt,LC,2007,2008,NA,0,NA
MAMMALS,Bettongia lesueur,VU,NT,2007,2008,2,1,1
