Class,Order,Family,Genus,Species,1,2,3,4,5,6,7,8,9,10,category_at_start,num_assessments,category_at_end,numeric_category_at_start,numeric_category_at_end,Delta_Status,is_geniune,to_check
MAMMALIA,CARNIVORA,FELIDAE,Leptailurus,Leptailurus serval,CR,LC,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,LC,4,0,4,non-genuine,No
AMPHIBIA,ANURA,HYLIDAE,Ptychohyla,Ptychohyla hypomykter,CR,LC,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,LC,4,0,4,genuine,No
AVES,PASSERIFORMES,CISTICOLIDAE,Apalis,Apalis argentea,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
MAMMALIA,RODENTIA,MURIDAE,Apodemus,Apodemus gurkha,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
REPTILIA,SQUAMATA,PYGOPODIDAE,Aprasia,Aprasia aurita,CR,NT,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,NT,4,1,3,genuine,No
AMPHIBIA,ANURA,MANTELLIDAE,Boophis,Boophis tampoka,EN,EN,LC,NA,NA,NA,NA,NA,NA,NA,EN,3,LC,3,0,3,non-genuine,check all changes
AVES,CHARADRIIFORMES,ALCIDAE,Brachyramphus,Brachyramphus brevirostris,CR,CR,CR,CR,CR,NT,NT,NT,NA,NA,CR,8,NT,4,1,3,genuine,check all changes
REPTILIA,SQUAMATA,CHAMAELEONIDAE,Bradypodion,Bradypodion taeniabronchum,EN,EN,LC,NA,NA,NA,NA,NA,NA,NA,EN,3,LC,3,0,3,non-genuine,check all changes
AMPHIBIA,ANURA,HYLIDAE,Bromeliohyla,Bromeliohyla bromeliacia,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
AMPHIBIA,ANURA,CRAUGASTORIDAE,Bryophryne,Bryophryne bustamantei,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
CHONDRICHTHYES,SQUALIFORMES,SOMNIOSIDAE,Centroscymnus,Centroscymnus coelolepis,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
REPTILIA,SQUAMATA,CORDYLIDAE,Cordylus,Cordylus aridus,EN,LC,LC,NA,NA,NA,NA,NA,NA,NA,EN,3,LC,3,0,3,non-genuine,check all changes
MAMMALIA,EULIPOTYPHLA,SORICIDAE,Crocidura,Crocidura baileyi,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
REPTILIA,SQUAMATA,GEKKONIDAE,Cryptactites,Cryptactites peringueyi,CR,NT,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,NT,4,1,3,non-genuine,No
AMPHIBIA,ANURA,CENTROLENIDAE,Espadarana,Espadarana audax,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
AMPHIBIA,ANURA,HYLIDAE,Hyloscirtus,Hyloscirtus colymba,CR,NT,NA,NA,NA,NA,NA,NA,NA,NA,CR,2,NT,4,1,3,non-genuine,No
MAMMALIA,RODENTIA,DIATOMYIDAE,Laonastes,Laonastes aenigmamus,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
REPTILIA,SQUAMATA,SCINCIDAE,Mochlus,Mochlus mafianum,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Petroleuciscus,Petroleuciscus smyrnaeus,EN,LC,NA,NA,NA,NA,NA,NA,NA,NA,EN,2,LC,3,0,3,non-genuine,No
