assessmentId,scientificName,internalTaxonId,AOO.range,EOO.range,DepthLower.limit,DepthUpper.limit,Congregatory.value,NoThreats.noThreats,ElevationLower.limit,ElevationUpper.limit,PopulationSize.range,ThreatsUnknown.value,LocationsNumber.range,GenerationLength.range,MovementPatterns.pattern,SubpopulationNumber.range,AreaRestricted.isRestricted,CropWildRelative.isRelative,YearOfPopulationEstimate.value,InterTrade,Frag,RecoveryPlan,ProtectedAreas,ExSitu,Monitoring,EducAwareProg,Harvest,ConsSitePlan,InterLegis,InvasiveCont,ConsSitesID,ProtectPercent
498639,Ambloplites cavifrons,1078,,,,,,,,,,,,,Not a Migrant,,,,,,No,Unknown,,,Unknown,,Yes,,,,Unknown,
498726,Iguanognathus werneri,10803,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
500601,Kuhlia marginata,11060,,,50,0,,,0,1,,TRUE,,,Full Migrant,,,,,,,,,,,,,,,,,
505458,Lithognathus lithognathus,12137,146,,25,0,,,,,,,5,13,,,,,,,No,,Yes,,,,Yes,,,,"Yes, over entire range",
506350,Lutjanus analis,12416,,,95,1,,,,,,,,22-Aug,,,,,,,No,,Yes,,,,Yes,,,,No,
506633,Lutjanus cyanopterus,12417,,,85,1,,,,,,,,13-Nov,,,,,,,Unknown,,Yes,,,,Yes,,,,No,
512306,Menidia conchorum,13145,499,3802,5,0,,,,,,,5-Jan,,,,Unknown,,,,,,Yes,,,,,,,,No,
545821,Neochanna burrowsius,14505,1.8,1599,,,,,0,420,,,,,Not a Migrant,,,,,,,,,,,,,,,,,
545893,Neochanna diversus,14506,261,10665,,,,,,,,,,3,Not a Migrant,,,,,,,No,,,,,,,,,,
545955,Neochanna apoda,14507,149,5419,,,,,0,200,,,,4,Not a Migrant,,,,,,,,,,,,,,,,"Yes, over part of range",
569642,Ogmodon vitianus,15185,,4000,,,,,,,,,3,,,,,,,,Unknown,,Unknown,,,,,,,,,
585677,Oligodon nikhili,15199,,,,,,,1500,1500,,TRUE,,,,,Unknown,,,No,,No,No,No,No,No,No,No,No,No,,
717343,Opisthotropis spenceri,15392,,,,,,,,,,TRUE,,,,,,,,,No,,Yes,,,,,,,,,
718371,Parioglossus neocaledonicus,154656,,,,,,,,,,TRUE,,,,,,,,,No,,,,,,,,,,,
718871,Diplodus cervinus,154708,,,300,0,,,,,,,,,,,,,,,No,,,,,,,,,,,
719281,Apeltes quadracus,154731,,,,,,TRUE,,,,,,,Not a Migrant,,,,,,No,,,,,,,,,,,
722547,Sciades parkeri,155018,,,20,15,,,,,,,,11,,,,,,,No,,Yes,,,,,,,,No,
726254,Lutjanus apodus,155152,,,89,1,,,,,,,,,,,,,,,Unknown,,Yes,,,,Yes,,,,No,
727213,Anomochilus leonardi,1555,,,,,,,220,500,,TRUE,,,,,,,,,Unknown,,Yes,,,,,,,,,
727429,Ambassis urotaenia,155201,,,,,Congregatory (and dispersive),TRUE,,,,TRUE,,,,,,,,,No,,Yes,,,,,,,,,
729102,Ostorhinchus lateralis,155273,,,2,0,Congregatory (and dispersive),TRUE,,,,,,,,,,,,,No,,Yes,,,,,,,,,
743434,Chamaeleo chamaeleon,157246,,,,,,,0,1850,,,,,,,,,,No,No,,Yes,,,,,,No,,,
743714,Stellagama stellio,157247,,,,,,TRUE,0,1900,,,,,,,,,,,No,,Yes,,,,,,,,,
746010,Elaphe sauromates,157265,,,,,,,0,2500,,,,,,,,,,,No,,Yes,,,,,,,,,
746211,Dolichophis caspius,157267,,,,,,,0,2000,,,,,,,,,,,No,,Yes,,,,,,Yes,,,
746934,Hemorrhois nummifer,157270,,,,,,,0,2000,,,,,,,,,,,No,,Yes,,,,,,,,,
747133,Chamaeleo africanus,157273,,7400000,,,,,,,,,,,,,No,,,,No,,Yes,,,,,,,,,
747386,Xerotyphlops vermicularis,157274,,,,,,,0,1700,,,,,,,,,,,No,,Yes,,,,,,Yes,,,
747623,Elaphe dione,157275,,21000000,,,,TRUE,0,3580,,,,,,,No,,,No,No,,Yes,,,,,,Yes,,"Yes, over entire range",
747934,Phrynocephalus guttatus,157278,,,,,,,-16,1000,,,,,,,,,,,No,,Yes,,,,,,,,,
748852,Coronella austriaca,157284,,,,,,,0,2750,,,,,,,,,,,No,,Yes,,,,,,Yes,,,
