assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
505458,12137,Lithognathus lithognathus,47,Atlantic - southeast,Unknown,Native,Extant,Resident
505458,12137,Lithognathus lithognathus,51,Indian Ocean - western,Unknown,Native,Extant,Resident
506350,12416,Lutjanus analis,31,Atlantic - western central,No,Native,Extant,Resident
506350,12416,Lutjanus analis,41,Atlantic - southwest,No,Native,Extant,Resident
506350,12416,Lutjanus analis,21,Atlantic - northwest,No,Native,Extant,Resident
506633,12417,Lutjanus cyanopterus,31,Atlantic - western central,No,Native,Extant,Resident
506633,12417,Lutjanus cyanopterus,21,Atlantic - northwest,No,Native,Extant,Resident
506633,12417,Lutjanus cyanopterus,41,Atlantic - southwest,No,Native,Extant,Resident
512306,13145,Menidia conchorum,31,Atlantic - western central,,Native,Extant,Resident
718371,154656,Parioglossus neocaledonicus,71,Pacific - western central,,Native,Extant,Resident
718871,154708,Diplodus cervinus,37,Mediterranean and Black Sea,Unknown,Native,Extant,Resident
718871,154708,Diplodus cervinus,27,Atlantic - northeast,Unknown,Native,Extant,Resident
718871,154708,Diplodus cervinus,34,Atlantic - eastern central,Unknown,Introduced,Extant,Resident
722547,155018,Sciades parkeri,31,Atlantic - western central,,Native,Extant,Resident
722547,155018,Sciades parkeri,41,Atlantic - southwest,,Native,Extant,Resident
726254,155152,Lutjanus apodus,31,Atlantic - western central,No,Native,Extant,Resident
727429,155201,Ambassis urotaenia,51,Indian Ocean - western,,Native,Extant,Resident
727429,155201,Ambassis urotaenia,61,Pacific - northwest,,Native,Extant,Resident
727429,155201,Ambassis urotaenia,57,Indian Ocean - eastern,,Native,Extant,Resident
727429,155201,Ambassis urotaenia,71,Pacific - western central,,Native,Extant,Resident
729102,155273,Ostorhinchus lateralis,51,Indian Ocean - western,Unknown,Native,Extant,Resident
729102,155273,Ostorhinchus lateralis,61,Pacific - northwest,Unknown,Native,Extant,Resident
729102,155273,Ostorhinchus lateralis,57,Indian Ocean - eastern,Unknown,Native,Extant,Resident
