assessmentId,internalTaxonId,scientificName,code,name,formerlyBred,origin,presence,seasonality
1073433,16475,Pegasus laternarius,4.5.13,Gulf of Thailand,,Native,Extant,Seasonal Occurrence Uncertain
1073433,16475,Pegasus laternarius,4.5.12,South China Sea,,Native,Extant,Seasonal Occurrence Uncertain
1073433,16475,Pegasus laternarius,4.5.10,Yellow Sea,,Native,Extant,Seasonal Occurrence Uncertain
1073433,16475,Pegasus laternarius,4.5.7,Sulu-Celebes Sea,,Native,Extant,Seasonal Occurrence Uncertain
1073433,16475,Pegasus laternarius,4.5.5,Sea of Japan,,Origin Uncertain,Extant,Seasonal Occurrence Uncertain
1073433,16475,Pegasus laternarius,4.5.4,Indonesian Seas,,Native,Extant,Seasonal Occurrence Uncertain
1073433,16475,Pegasus laternarius,2.2.1,Kuroshio Current,,Native,Extant,Seasonal Occurrence Uncertain
1073433,16475,Pegasus laternarius,4.6.1,Bay of Bengal,,Native,Extant,Seasonal Occurrence Uncertain
1117791,166184,Anguilla japonica,4.5.13,Gulf of Thailand,,Vagrant,Presence Uncertain,Non-Breeding Season
1117791,166184,Anguilla japonica,4.5.12,South China Sea,,Vagrant,Presence Uncertain,Non-Breeding Season
1117791,166184,Anguilla japonica,4.5.11,East China Sea,,Native,Extant,Non-Breeding Season
1117791,166184,Anguilla japonica,4.5.10,Yellow Sea,,Native,Extant,Non-Breeding Season
1117791,166184,Anguilla japonica,4.5.7,Sulu-Celebes Sea,,Vagrant,Presence Uncertain,Non-Breeding Season
1117791,166184,Anguilla japonica,4.5.5,Sea of Japan,,Native,Extant,Non-Breeding Season
1117791,166184,Anguilla japonica,4.5.4,Indonesian Seas,,Vagrant,Presence Uncertain,Non-Breeding Season
1117791,166184,Anguilla japonica,2.2.1,Kuroshio Current,,Native,Extant,Non-Breeding Season
1306343,17026,Phocarctos hookeri,4.5.6,New Zealand,,Native,Extant,Resident
1730550,183155,Anguilla mossambica,4.6.4,Agulhas Current,,Native,Extant,Non-Breeding Season
1730550,183155,Anguilla mossambica,4.6.3,Somali Current,,Native,Extant,Non-Breeding Season
1731021,183167,Hippichthys cyanospilos,4.6.5,Red Sea,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.6.4,Agulhas Current,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.6.3,Somali Current,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.6.2,Arabian Sea,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.6.1,Bay of Bengal,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.5.12,South China Sea,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.5.7,Sulu-Celebes Sea,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.5.4,Indonesian Seas,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.4.4,North Australian Shelf,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,4.4.3,Northeast Australian Shelf,,Native,Extant,Resident
1731021,183167,Hippichthys cyanospilos,2.2.1,Kuroshio Current,,Native,Extant,Resident
1736480,183317,Haemulon steindachneri,4.5.1,Gulf of California,,Native,Extant,Resident
1736480,183317,Haemulon steindachneri,4.5.8,Pacific Central American Coastal,,Native,Extant,Resident
1736480,183317,Haemulon steindachneri,4.5.3,Humboldt Current,,Native,Extant,Resident
1736480,183317,Haemulon steindachneri,4.5.2,California Current,,Native,Extant,Resident
1744455,183992,Gerres cinereus,4.5.1,Gulf of California,,Native,Extant,Resident
1744455,183992,Gerres cinereus,4.5.8,Pacific Central American Coastal,,Native,Extant,Resident
1744455,183992,Gerres cinereus,4.5.3,Humboldt Current,,Native,Extant,Resident
1744455,183992,Gerres cinereus,4.5.2,California Current,,Native,Extant,Resident
1745464,184047,Elops affinis,4.5.1,Gulf of California,,Native,Extant,Resident
1745464,184047,Elops affinis,4.5.3,Humboldt Current,,Native,Extant,Resident
1745464,184047,Elops affinis,4.5.8,Pacific Central American Coastal,,Native,Extant,Resident
1745464,184047,Elops affinis,4.5.2,California Current,,Native,Extant,Resident
1769631,185130,Neoclinus chihiroe,4.5.11,East China Sea,,Native,Extant,Resident
1769631,185130,Neoclinus chihiroe,2.2.2,Oyashio Current,,Native,Extant,Resident
1769631,185130,Neoclinus chihiroe,4.5.9,Sea of Okhotsk,,Native,Extant,Resident
1769631,185130,Neoclinus chihiroe,2.2.1,Kuroshio Current,,Native,Extant,Resident
1769631,185130,Neoclinus chihiroe,4.5.5,Sea of Japan,,Native,Extant,Resident
1769918,185132,Neoclinus nudus,4.5.12,South China Sea,,Native,Extant,Resident
1769918,185132,Neoclinus nudus,4.5.11,East China Sea,,Native,Extant,Resident
1769918,185132,Neoclinus nudus,2.2.1,Kuroshio Current,,Native,Extant,Resident
1770082,185133,Neoclinus blanchardi,4.5.2,California Current,,Native,Extant,Resident
1770212,185134,Myxodagnus walkeri,4.5.1,Gulf of California,,Native,Extant,Resident
1770212,185134,Myxodagnus walkeri,4.5.8,Pacific Central American Coastal,,Native,Extant,Resident
1770391,185135,Storrsia olsoni,4.3.1,East Brazil Shelf,,Native,Extant,Resident
1770629,185137,Platygillellus brasiliensis,4.3.1,East Brazil Shelf,,Native,Extant,Resident
1770629,185137,Platygillellus brasiliensis,4.3.4,South Brazil Shelf,,Native,Extant,Resident
1771457,185142,Cryptotrema corallinum,4.5.2,California Current,,Native,Extant,Resident
1771574,185143,Acanthemblemaria hastingsi,4.5.1,Gulf of California,,Native,Extant,Resident
1771952,185146,Tripterygion delaisi,2.1.1,Mediterranean Sea,,Native,Extant,Resident
1771952,185146,Tripterygion delaisi,4.2.8,Celtic-Biscay,,Native,Extant,Resident
1771952,185146,Tripterygion delaisi,2.1.2,Canary Current,,Native,Extant,Resident
1771952,185146,Tripterygion delaisi,4.2.10,Iberian Coastal,,Native,Extant,Resident
1772303,185148,Labrisomus cricota,4.3.1,East Brazil Shelf,,Native,Extant,Resident
1772567,185150,Neoclinus lacunicola,4.5.11,East China Sea,,Native,Extant,Resident
1772567,185150,Neoclinus lacunicola,2.2.2,Oyashio Current,,Native,Extant,Resident
1772567,185150,Neoclinus lacunicola,4.5.9,Sea of Okhotsk,,Native,Extant,Resident
1772567,185150,Neoclinus lacunicola,2.2.1,Kuroshio Current,,Native,Extant,Resident
1772567,185150,Neoclinus lacunicola,4.5.5,Sea of Japan,,Native,Extant,Resident
1773148,185154,Sindoscopus australis,4.5.3,Humboldt Current,,Native,Extant,Resident
1773287,185155,Clinitrachus argentatus,2.1.1,Mediterranean Sea,,,Extant,Resident
1773287,185155,Clinitrachus argentatus,2.1.2,Canary Current,,,Extant,Resident
1773287,185155,Clinitrachus argentatus,4.2.5,Black Sea,,,Extant,Resident
